MapDate,FIPS,County,State,None,D0,D1,D2,D3,D4,ValidStart,ValidEnd,StatisticFormatID
20181225,06019,Fresno County,CA,24.79,75.21,47.19,0.00,0.00,0.00,2018-12-25,2018-12-31,1
20181218,06019,Fresno County,CA,24.79,75.21,47.19,0.00,0.00,0.00,2018-12-18,2018-12-24,1
20181211,06019,Fresno County,CA,24.79,75.21,47.19,0.00,0.00,0.00,2018-12-11,2018-12-17,1
20181204,06019,Fresno County,CA,24.79,75.21,47.19,0.00,0.00,0.00,2018-12-04,2018-12-10,1
20181127,06019,Fresno County,CA,0.00,100.00,47.19,0.00,0.00,0.00,2018-11-27,2018-12-03,1
20181120,06019,Fresno County,CA,0.00,100.00,47.19,0.00,0.00,0.00,2018-11-20,2018-11-26,1
20181113,06019,Fresno County,CA,0.00,100.00,43.57,0.00,0.00,0.00,2018-11-13,2018-11-19,1
20181106,06019,Fresno County,CA,0.00,100.00,43.57,0.00,0.00,0.00,2018-11-06,2018-11-12,1
20181030,06019,Fresno County,CA,28.45,71.55,43.57,0.00,0.00,0.00,2018-10-30,2018-11-05,1
20181023,06019,Fresno County,CA,28.45,71.55,43.57,0.00,0.00,0.00,2018-10-23,2018-10-29,1
20181016,06019,Fresno County,CA,28.45,71.55,43.57,0.00,0.00,0.00,2018-10-16,2018-10-22,1
20181009,06019,Fresno County,CA,28.45,71.55,43.57,0.00,0.00,0.00,2018-10-09,2018-10-15,1
20181002,06019,Fresno County,CA,7.53,92.47,43.57,0.00,0.00,0.00,2018-10-02,2018-10-08,1
20180925,06019,Fresno County,CA,7.53,92.47,43.57,0.00,0.00,0.00,2018-09-25,2018-10-01,1
20180918,06019,Fresno County,CA,7.53,92.47,43.57,0.00,0.00,0.00,2018-09-18,2018-09-24,1
20180911,06019,Fresno County,CA,7.53,92.47,43.57,0.00,0.00,0.00,2018-09-11,2018-09-17,1
20180904,06019,Fresno County,CA,7.53,92.47,43.57,0.00,0.00,0.00,2018-09-04,2018-09-10,1
20180828,06019,Fresno County,CA,7.53,92.47,43.57,0.00,0.00,0.00,2018-08-28,2018-09-03,1
20180821,06019,Fresno County,CA,7.53,92.47,43.57,0.00,0.00,0.00,2018-08-21,2018-08-27,1
20180814,06019,Fresno County,CA,7.52,92.48,43.57,0.00,0.00,0.00,2018-08-14,2018-08-20,1
20180807,06019,Fresno County,CA,7.52,92.48,43.57,0.00,0.00,0.00,2018-08-07,2018-08-13,1
20180731,06019,Fresno County,CA,7.52,92.48,43.57,0.00,0.00,0.00,2018-07-31,2018-08-06,1
20180724,06019,Fresno County,CA,7.28,92.72,43.27,0.00,0.00,0.00,2018-07-24,2018-07-30,1
20180717,06019,Fresno County,CA,7.28,92.72,43.16,0.00,0.00,0.00,2018-07-17,2018-07-23,1
20180710,06019,Fresno County,CA,7.28,92.72,43.09,0.00,0.00,0.00,2018-07-10,2018-07-16,1
20180703,06019,Fresno County,CA,7.28,92.72,43.25,0.00,0.00,0.00,2018-07-03,2018-07-09,1
20180626,06019,Fresno County,CA,7.24,92.76,43.25,0.00,0.00,0.00,2018-06-26,2018-07-02,1
20180619,06019,Fresno County,CA,7.24,92.76,43.25,0.00,0.00,0.00,2018-06-19,2018-06-25,1
20180612,06019,Fresno County,CA,7.31,92.69,43.25,0.00,0.00,0.00,2018-06-12,2018-06-18,1
20180605,06019,Fresno County,CA,7.31,92.69,43.12,0.00,0.00,0.00,2018-06-05,2018-06-11,1
20180529,06019,Fresno County,CA,7.31,92.69,43.12,0.00,0.00,0.00,2018-05-29,2018-06-04,1
20180522,06019,Fresno County,CA,7.31,92.69,43.12,0.00,0.00,0.00,2018-05-22,2018-05-28,1
20180515,06019,Fresno County,CA,7.15,92.85,43.38,0.00,0.00,0.00,2018-05-15,2018-05-21,1
20180508,06019,Fresno County,CA,7.12,92.88,43.20,0.00,0.00,0.00,2018-05-08,2018-05-14,1
20180501,06019,Fresno County,CA,7.62,92.38,43.20,0.00,0.00,0.00,2018-05-01,2018-05-07,1
20180424,06019,Fresno County,CA,7.62,92.38,43.20,0.00,0.00,0.00,2018-04-24,2018-04-30,1
20180417,06019,Fresno County,CA,7.62,92.38,43.20,0.00,0.00,0.00,2018-04-17,2018-04-23,1
20180410,06019,Fresno County,CA,7.62,92.38,43.20,0.00,0.00,0.00,2018-04-10,2018-04-16,1
20180403,06019,Fresno County,CA,0.00,100.00,69.90,0.00,0.00,0.00,2018-04-03,2018-04-09,1
20180327,06019,Fresno County,CA,0.00,100.00,69.71,0.00,0.00,0.00,2018-03-27,2018-04-02,1
20180320,06019,Fresno County,CA,0.00,100.00,96.14,59.49,0.00,0.00,2018-03-20,2018-03-26,1
20180313,06019,Fresno County,CA,0.00,100.00,96.14,59.49,0.00,0.00,2018-03-13,2018-03-19,1
20180306,06019,Fresno County,CA,0.00,100.00,97.73,62.13,0.00,0.00,2018-03-06,2018-03-12,1
20180227,06019,Fresno County,CA,0.00,100.00,97.73,62.13,0.00,0.00,2018-02-27,2018-03-05,1
20180220,06019,Fresno County,CA,0.00,100.00,97.73,62.13,0.00,0.00,2018-02-20,2018-02-26,1
20180213,06019,Fresno County,CA,0.00,100.00,97.73,62.13,0.00,0.00,2018-02-13,2018-02-19,1
20180206,06019,Fresno County,CA,0.00,100.00,97.88,0.00,0.00,0.00,2018-02-06,2018-02-12,1
20180130,06019,Fresno County,CA,0.00,100.00,92.27,0.00,0.00,0.00,2018-01-30,2018-02-05,1
20180123,06019,Fresno County,CA,1.42,98.58,0.00,0.00,0.00,0.00,2018-01-23,2018-01-29,1
20180116,06019,Fresno County,CA,48.28,51.72,0.00,0.00,0.00,0.00,2018-01-16,2018-01-22,1
20180109,06019,Fresno County,CA,48.30,51.70,0.00,0.00,0.00,0.00,2018-01-09,2018-01-15,1
20180102,06019,Fresno County,CA,48.30,51.70,0.00,0.00,0.00,0.00,2018-01-02,2018-01-08,1
20171226,06019,Fresno County,CA,48.30,51.70,0.00,0.00,0.00,0.00,2017-12-26,2018-01-01,1
20171219,06019,Fresno County,CA,48.30,51.70,0.00,0.00,0.00,0.00,2017-12-19,2017-12-25,1
20171212,06019,Fresno County,CA,48.30,51.70,0.00,0.00,0.00,0.00,2017-12-12,2017-12-18,1
20171205,06019,Fresno County,CA,48.30,51.70,0.00,0.00,0.00,0.00,2017-12-05,2017-12-11,1
20171128,06019,Fresno County,CA,77.23,22.77,0.00,0.00,0.00,0.00,2017-11-28,2017-12-04,1
20171121,06019,Fresno County,CA,78.26,21.74,0.00,0.00,0.00,0.00,2017-11-21,2017-11-27,1
20171114,06019,Fresno County,CA,78.26,21.74,0.00,0.00,0.00,0.00,2017-11-14,2017-11-20,1
20171107,06019,Fresno County,CA,78.26,21.74,0.00,0.00,0.00,0.00,2017-11-07,2017-11-13,1
20171031,06019,Fresno County,CA,78.26,21.74,0.00,0.00,0.00,0.00,2017-10-31,2017-11-06,1
20171024,06019,Fresno County,CA,78.26,21.74,0.00,0.00,0.00,0.00,2017-10-24,2017-10-30,1
20171017,06019,Fresno County,CA,78.55,21.45,0.00,0.00,0.00,0.00,2017-10-17,2017-10-23,1
