Year-Month,VFRate,FIRE_Acres_Burned,PRECIP,WIND_EventCount,WIND_AvgMPH,WIND_RunMiles,AQI_PM25,AQI_PM10,EARTHQUAKE_Total,PESTICIDE_Total
2008-10,6.15634928487407,163.91,0.18,0.0,3.667741935,87.82580645,70.0,53.0,0,23.0560507
2008-11,3.407979068412431,17.3,1.49,0.0,3.106666667,74.49,95.5,38.5,0,0.5193228
2008-12,6.486153710849466,0.0,1.19,0.0,3.306451613,79.31290323,94.0,18.5,0,0.0
2009-01,6.619799930112276,1.0,1.25,0.0,2.587096774,62.01935484,102.0,33.0,0,24.6304
2009-02,5.7516294474746,28.0,2.33,0.0,3.928571429,94.09642857,51.5,13.0,0,71.5428855
2009-03,3.90676717186954,15.51,0.32,1.0,4.680645161,112.2741935,42.0,22.0,0,698.5778579
2009-04,5.643108137144891,38.05,0.5900000000000001,2.0,5.55,133.32,46.5,19.0,0,3647.7464721
2009-05,4.2323311028586685,60.36,0.41,0.0,5.880645161,141.0967742,58.0,26.5,1,7683.718158199999
2009-06,5.3175442061557625,123.7,0.48,0.0,5.753333333,138.1733333,49.0,28.5,0,1114.1638899
2009-07,3.364160620220993,278.33,0.0,0.0,5.267741935,126.5548387,57.0,26.0,0,609.8351471
2009-08,4.666416344177506,35.019999999999996,0.0,0.0,4.574193548,109.8129032,62.0,50.0,0,659.8180203
2009-09,3.364160620220993,122.48,0.02,0.0,4.29,103.0666667,60.0,49.5,0,247.7781564
2009-10,4.340852413188378,15.22,1.37,2.0,4.235483871,101.5,61.0,29.5,5,44.05958
2009-11,2.3874688272536075,5.85,0.2299999999999999,0.0,3.11,74.55666667,82.5,40.0,1,0.3468992
2009-12,3.4726819305507024,5.01,2.5,1.0,3.716129032,89.17419355,100.0,25.0,0,2.0496469
2010-01,3.540005277826051,1.0,2.02,1.0,3.990322581,95.83548387,73.0,25.0,0,27.3311132
2010-02,1.5018204208959003,1.0,2.94,0.0,3.421428571,82.34642857,62.5,28.0,0,911.7834071
2010-03,1.9309119697233001,1.1,1.0,0.0,4.435483871,106.5258065,55.0,21.5,0,5475.2385343
2010-04,2.2527306313438507,1.6,2.53,0.0,4.91,117.9266667,54.0,26.0,0,2449.1006644999998
2010-05,2.1454577441370004,63.09,0.17,2.0,5.822580645,139.7032258,51.0,22.0,0,1442.8465448
2010-06,5.363644360342501,829.64,0.0,1.0,6.503333333,156.14,51.0,27.5,0,918.0396732
2010-07,7.187283442858952,361.92,0.0,0.0,5.016129032,120.3806452,61.0,36.0,0,2465.7414396
2010-08,10.190924284650752,62.62,0.0,0.0,4.616129032,110.6548387,58.0,42.0,0,853.4287626
2010-09,12.229109141580901,46.11,0.0,0.0,3.893333333,93.31666667,59.0,52.5,0,267.0679635
2010-10,13.838202449683651,17.45,0.65,0.0,3.764516129,90.5516129,64.0,22.0,0,26.673901400000002
2010-11,9.76183273582335,4.36,2.01,0.0,3.286666667,78.96666667,82.5,24.5,0,18.4075006
2010-12,7.830920766100051,0.0,5.74,0.0,3.606451613,86.69354839,80.0,24.0,0,50.881237999999996
2011-01,6.168860866661136,0.0,1.8,0.0,2.903225806,69.55483871,84.0,21.0,1,83.4570538
2011-02,5.105264165512664,1.11,1.48,0.0,3.814285714,91.525,63.0,26.0,0,737.62676375
2011-03,6.487939877005677,10.649999999999999,3.49,0.0,4.9,117.6774194,53.0,11.0,0,10167.2676227
2011-04,5.424343175857206,26.46,0.23,0.0,5.303333333,127.32,53.0,13.0,1,5855.1130248
2011-05,2.6589917528711795,578.13,0.49,1.0,5.835483871,139.9258065,57.0,16.5,0,2611.6246503
2011-06,4.7861851551681225,458.76,1.93,0.0,5.45,130.55,60.0,24.5,0,4088.3202961
2011-07,4.998904495397817,285.92,0.0,0.0,5.335483871,128.0,64.0,29.0,0,4498.6517047
2011-08,6.062501196546289,130.92000000000002,0.0,0.0,4.34516129,104.3225806,62.0,33.0,1,1160.2022035
2011-09,9.253291299991705,402.53999999999996,0.02,0.0,3.953333333,94.94,64.5,55.0,0,476.3713806
2011-10,9.359650970106552,57.32,0.97,0.0,3.329032258,79.86451613,76.0,42.0,1,300.147105
2011-11,7.6578962482689965,19.86,0.8200000000000001,0.0,3.386666667,81.37,76.5,28.0,0,0.3922
2011-12,9.04057195976201,64.05,0.02,1.0,2.835483871,68.10967742,140.0,56.5,0,1.668576
2012-01,9.297401693183632,32.22,1.47,0.0,3.280645161,78.9483871,120.0,26.0,0,0.18255
2012-02,7.712617313663694,23.31,0.62,1.0,4.079310345,98.20689655,67.0,24.0,0,789.623621
2012-03,5.81087605823977,99.12,2.56,1.0,4.95483871,118.7193548,52.0,18.0,0,6865.4510198
2012-04,4.5430485546238195,14.1,3.13,1.0,5.076666667,121.8333333,51.5,11.0,0,4518.5868613
2012-05,4.860005430527807,174.92,0.0,2.0,6.025806452,144.4225806,56.0,28.0,0,3253.3988969
2012-06,2.5356550072318993,601.3000000000001,0.0,3.0,6.72,161.1533333,50.5,31.0,0,2050.3993009
2012-07,2.6413072991998954,230.57,0.0,0.0,4.9,117.5870968,57.0,30.0,0,3127.9568066
2012-08,3.486525634943862,250.35,0.06,0.0,4.448387097,106.8806452,57.0,42.0,0,1275.7941205
2012-09,2.5356550072318993,30.9,0.0,0.0,3.536666667,84.97333333,63.0,55.5,0,358.787508
2012-10,2.218698131327912,10.1,2.96,0.0,3.641935484,87.47741935,66.0,49.0,1,195.95892
2012-11,2.8526118831358867,107.2,0.99,0.0,3.376666667,81.09333333,80.0,30.5,0,239.3290499
2012-12,2.324350423295908,2.0,1.74,0.0,4.319354839,103.8354839,67.0,18.5,0,87.7987221
2013-01,2.5166993488040434,0.35,0.54,0.0,3.183870968,76.41612903,107.0,42.0,0,50.962201199999996
2013-02,3.0410117131382193,3.1,0.5800000000000001,0.0,3.417857143,82.05714286,77.0,31.0,1,77.312719
2013-03,2.5166993488040434,7.92,0.71,0.0,4.306451613,103.3129032,60.0,25.0,0,7379.2401734000005
2013-04,3.9847739689397352,244.52,0.12,1.0,5.423333333,130.03,54.0,27.0,0,4643.95017211
2013-05,4.613948806140747,84.35,0.07,0.0,6.464516129,155.2387097,56.0,27.0,1,1961.72455721
2013-06,3.0410117131382193,359.26,0.0,0.0,4.59,110.19,55.0,29.0,0,2612.3710655
2013-07,2.8312867674045488,277.23,0.0,0.0,4.767741935,114.4193548,63.0,34.0,0,1895.5946216
2013-08,1.5729370930025273,172.62,0.06,0.0,4.887096774,117.1870968,56.0,35.0,0,1306.505795
2013-09,1.6777995658693623,20.5,0.0,0.0,4.916666667,118.05,55.0,48.5,0,303.94498921
2013-10,1.8875245116030326,7.7,0.06,0.0,3.390322581,81.18064516,64.0,52.0,0,0.36875
2013-11,2.6215618216708787,7.78,0.37,0.0,2.82,67.50666667,85.0,56.0,0,78.9710466
2013-12,2.202111930203538,5.4,0.23,0.0,2.590322581,62.06774194,131.0,56.0,0,26.514472
2014-01,1.1418807606586785,131.89,0.01,0.0,2.527777778,60.83888889,139.0,66.0,0,2.6121584
2014-02,1.2456881025367401,2.8,1.23,1.0,5.7,136.72,61.5,23.5,0,2898.2543688
2014-03,1.2456881025367401,10.8,0.7000000000000001,0.0,4.390322581,105.383871,52.0,21.0,0,3484.9473589
2014-04,0.8304587350244933,5.87,0.81,1.0,4.98,119.32,54.0,23.0,0,3755.998145
2014-05,1.2456881025367401,31.7,0.21,0.0,5.735483871,137.883871,50.0,28.0,0,2304.3593262
2014-06,1.3494954444148017,87.6,0.0,0.0,5.26,126.4,52.5,29.5,0,2182.3026358
2014-07,2.0761468375612333,27.1,0.02,0.0,4.858064516,116.6870968,56.0,35.0,0,1612.43095213
2014-08,1.3494954444148017,99.65,0.0,0.0,4.535483871,108.7032258,58.0,43.0,1,768.1830675
2014-09,1.7647248119270482,12.14,0.07,0.0,4.07,97.68,61.5,51.0,0,408.2774884
2014-10,1.7647248119270482,13.55,0.42,0.0,3.432258065,82.50322581,60.0,50.0,0,245.0540863
2014-11,1.1418807606586785,0.2,0.92,0.0,2.813333333,67.69333333,79.5,34.0,0,350.8743921
2014-12,0.9342660769025549,2.1,2.93,0.0,3.335483871,80.20967742,66.0,19.0,0,72.4336327
2015-01,1.5417727920271844,2.0,0.31,0.0,2.641935484,63.36774194,99.0,35.0,0,128.9009458
2015-02,0.6167091168108738,0.11,1.34,0.0,3.389285714,81.25714286,76.5,29.0,1,1217.1163971
