ADJUVANT	YEAR	DATE	COUNTY_NAME	COMTRS	SITE_NAME	PRODUCT_NAME	POUNDS_PRODUCT_APPLIED	CHEMICAL_NAME	POUNDS_CHEMICAL_APPLIED	AMOUNT_TREATED	UNIT_TREATED	AERIAL_GROUND_INDICATOR
NO	2009	14-NOV-09	FRESNO	10M17S17E31	ALFALFA (FORAGE - FODDER) (ALFALFA HAY)	RODENT BAIT ZINC PHOSPHIDE TREATED GRAIN  2.00 FOR BROADCAST ONLY	684.52	ZINC PHOSPHIDE	13.6904	114	A	G
NO	2009	14-NOV-09	FRESNO	10M17S17E31	ALFALFA (FORAGE - FODDER) (ALFALFA HAY)	RODENT BAIT ZINC PHOSPHIDE TREATED GRAIN  2.00 FOR BROADCAST ONLY	466.55	ZINC PHOSPHIDE	9.331	77.7	A	G
NO	2009	14-NOV-09	FRESNO	10M17S17E31	ALFALFA (FORAGE - FODDER) (ALFALFA HAY)	RODENT BAIT ZINC PHOSPHIDE TREATED GRAIN  2.00 FOR BROADCAST ONLY	698.93	ZINC PHOSPHIDE	13.9786	116.4	A	G
NO	2009	13-APR-09	FRESNO	10M13S22E18	ALMOND	RODENT BAIT DIPHACINONE TREATED GRAIN  0.005	15	DIPHACINONE	.00075	110.6	A	G
NO	2009	13-APR-09	FRESNO	10M13S22E18	ALMOND	RODENT BAIT DIPHACINONE TREATED GRAIN  0.005	15	DIPHACINONE	.00075	69.58	A	G
NO	2009	21-APR-09	FRESNO	10M13S21E24	ALMOND	RODENT BAIT DIPHACINONE TREATED GRAIN  0.005	10.5	DIPHACINONE	.000525	27	A	G
NO	2009	13-APR-09	FRESNO	10M13S22E18	ALMOND	RODENT BAIT DIPHACINONE TREATED GRAIN  0.005	15	DIPHACINONE	.00075	62.82	A	G
NO	2009	27-JUN-09	FRESNO	10M16S18E12	ALMOND	RODENT BAIT DIPHACINONE TREATED GRAIN (0.005%)	50	DIPHACINONE	.0025	140	A	G
NO	2009	30-JUL-09	FRESNO	10M13S22E29	ALMOND	RODENT BAIT DIPHACINONE TREATED GRAIN (0.005%)	20	DIPHACINONE	.001	44	A	G
NO	2009	29-MAY-09	FRESNO	10M13S22E18	ALMOND	RODENT BAIT DIPHACINONE TREATED GRAIN (0.005%)	15	DIPHACINONE	.00075	112.57	A	G
NO	2009	30-MAY-09	FRESNO	10M13S22E29	ALMOND	RODENT BAIT DIPHACINONE TREATED GRAIN (0.005%)	20	DIPHACINONE	.001	44	A	G
NO	2009	29-MAY-09	FRESNO	10M13S22E18	ALMOND	RODENT BAIT DIPHACINONE TREATED GRAIN (0.005%)	4.5	DIPHACINONE	.000225	32	A	G
NO	2009	11-MAY-09	FRESNO	10M13S22E18	ALMOND	RODENT BAIT DIPHACINONE TREATED GRAIN (0.005%)	15	DIPHACINONE	.00075	69.58	A	G
NO	2009	29-MAY-09	FRESNO	10M13S21E24	ALMOND	RODENT BAIT DIPHACINONE TREATED GRAIN (0.005%)	15	DIPHACINONE	.00075	27	A	G
