MapDate,FIPS,County,State,None,D0,D1,D2,D3,D4,ValidStart,ValidEnd,StatisticFormatID
20181225,06029,Kern County,CA,0.00,100.00,84.21,0.00,0.00,0.00,2018-12-25,2018-12-31,1
20181218,06029,Kern County,CA,0.00,100.00,84.21,0.00,0.00,0.00,2018-12-18,2018-12-24,1
20181211,06029,Kern County,CA,0.00,100.00,84.21,0.00,0.00,0.00,2018-12-11,2018-12-17,1
20181204,06029,Kern County,CA,0.00,100.00,84.21,0.00,0.00,0.00,2018-12-04,2018-12-10,1
20181127,06029,Kern County,CA,0.00,100.00,84.21,0.00,0.00,0.00,2018-11-27,2018-12-03,1
20181120,06029,Kern County,CA,0.00,100.00,84.12,0.00,0.00,0.00,2018-11-20,2018-11-26,1
20181113,06029,Kern County,CA,0.00,100.00,84.12,0.00,0.00,0.00,2018-11-13,2018-11-19,1
20181106,06029,Kern County,CA,0.00,100.00,84.12,0.00,0.00,0.00,2018-11-06,2018-11-12,1
20181030,06029,Kern County,CA,0.00,100.00,84.12,0.00,0.00,0.00,2018-10-30,2018-11-05,1
20181023,06029,Kern County,CA,0.00,100.00,84.12,0.00,0.00,0.00,2018-10-23,2018-10-29,1
20181016,06029,Kern County,CA,0.00,100.00,84.12,0.00,0.00,0.00,2018-10-16,2018-10-22,1
20181009,06029,Kern County,CA,0.00,100.00,84.12,0.00,0.00,0.00,2018-10-09,2018-10-15,1
20181002,06029,Kern County,CA,0.00,100.00,84.12,0.00,0.00,0.00,2018-10-02,2018-10-08,1
20180925,06029,Kern County,CA,0.00,100.00,84.12,0.00,0.00,0.00,2018-09-25,2018-10-01,1
20180918,06029,Kern County,CA,0.00,100.00,84.12,0.00,0.00,0.00,2018-09-18,2018-09-24,1
20180911,06029,Kern County,CA,0.00,100.00,84.12,0.00,0.00,0.00,2018-09-11,2018-09-17,1
20180904,06029,Kern County,CA,0.00,100.00,84.12,0.00,0.00,0.00,2018-09-04,2018-09-10,1
20180828,06029,Kern County,CA,0.00,100.00,84.12,0.00,0.00,0.00,2018-08-28,2018-09-03,1
20180821,06029,Kern County,CA,0.00,100.00,84.12,0.00,0.00,0.00,2018-08-21,2018-08-27,1
20180814,06029,Kern County,CA,0.00,100.00,84.12,0.00,0.00,0.00,2018-08-14,2018-08-20,1
20180807,06029,Kern County,CA,0.00,100.00,84.12,0.00,0.00,0.00,2018-08-07,2018-08-13,1
20180731,06029,Kern County,CA,0.00,100.00,84.12,0.00,0.00,0.00,2018-07-31,2018-08-06,1
20180724,06029,Kern County,CA,0.00,100.00,84.09,0.00,0.00,0.00,2018-07-24,2018-07-30,1
20180717,06029,Kern County,CA,0.00,100.00,83.95,0.00,0.00,0.00,2018-07-17,2018-07-23,1
20180710,06029,Kern County,CA,0.00,100.00,83.83,0.00,0.00,0.00,2018-07-10,2018-07-16,1
20180703,06029,Kern County,CA,0.00,100.00,84.05,0.00,0.00,0.00,2018-07-03,2018-07-09,1
20180626,06029,Kern County,CA,0.00,100.00,84.05,0.00,0.00,0.00,2018-06-26,2018-07-02,1
20180619,06029,Kern County,CA,0.00,100.00,84.05,0.00,0.00,0.00,2018-06-19,2018-06-25,1
