ADJUVANT	YEAR	DATE	COUNTY_NAME	COMTRS	SITE_NAME	PRODUCT_NAME	POUNDS_PRODUCT_APPLIED	CHEMICAL_NAME	POUNDS_CHEMICAL_APPLIED	AMOUNT_TREATED	UNIT_TREATED	AERIAL_GROUND_INDICATOR
NO	2013	07-JUN-13	KERN	15M27S24E16	ALFALFA (FORAGE - FODDER) (ALFALFA HAY)	P.C.Q. PELLETED RODENT BAIT	48.37	DIPHACINONE	.004837	72.2	A	G
NO	2013	07-JUN-13	KERN	15M27S24E09	ALFALFA (FORAGE - FODDER) (ALFALFA HAY)	P.C.Q. PELLETED RODENT BAIT	71.02	DIPHACINONE	.007102	106	A	G
NO	2013	07-JUN-13	KERN	15M27S24E17	ALFALFA (FORAGE - FODDER) (ALFALFA HAY)	P.C.Q. PELLETED RODENT BAIT	47.57	DIPHACINONE	.004757	71	A	G
NO	2013	07-JUN-13	KERN	15M27S24E09	ALFALFA (FORAGE - FODDER) (ALFALFA HAY)	P.C.Q. PELLETED RODENT BAIT	37.52	DIPHACINONE	.003752	56	A	G
NO	2013	07-JUN-13	KERN	15M27S24E17	ALFALFA (FORAGE - FODDER) (ALFALFA HAY)	P.C.Q. PELLETED RODENT BAIT	49.58	DIPHACINONE	.004958	74	A	G
NO	2013	06-FEB-13	KERN	15M27S26E29	ALMOND	P.C.Q. PELLETED RODENT BAIT	265.02	DIPHACINONE	.026502	240.93	A	G
NO	2013	05-MAR-13	KERN	15M27S25E31	ALMOND	P.C.Q. PELLETED RODENT BAIT	200.16	DIPHACINONE	.020016	36	A	G
NO	2013	06-FEB-13	KERN	15M27S26E30	ALMOND	P.C.Q. PELLETED RODENT BAIT	232.4	DIPHACINONE	.02324	211.27	A	G
NO	2013	22-FEB-13	KERN	15M31S26E01	CARROTS, GENERAL	P.C.Q. PELLETED RODENT BAIT	259.291	DIPHACINONE	.0259291	78.1	A	G
NO	2013	22-FEB-13	KERN	15M31S28E07	CARROTS, GENERAL	P.C.Q. PELLETED RODENT BAIT	232.399	DIPHACINONE	.0232399	70	A	G
NO	2013	09-MAY-13	KERN	15M25S27E28	GRAPEFRUIT	P.C.Q. PELLETED RODENT BAIT	50	DIPHACINONE	.005	40	A	G
NO	2013	09-MAY-13	KERN	15M25S27E28	GRAPEFRUIT	P.C.Q. PELLETED RODENT BAIT	50	DIPHACINONE	.005	40	A	G
NO	2013	23-APR-13	KERN	15M25S27E28	GRAPEFRUIT	P.C.Q. PELLETED RODENT BAIT	50	DIPHACINONE	.005	40	A	G
NO	2013	14-APR-13	KERN	15M27S26E20	GRAPES	P.C.Q. PELLETED RODENT BAIT	75.77	DIPHACINONE	.007577	75.77	A	O
NO	2013	16-APR-13	KERN	15M26S26E09	GRAPES	P.C.Q. PELLETED RODENT BAIT	20.35	DIPHACINONE	.002035	20.35	A	O
NO	2013	19-APR-13	KERN	15M26S26E17	GRAPES	P.C.Q. PELLETED RODENT BAIT	150	DIPHACINONE	.015	150	A	O
NO	2013	01-JUL-13	KERN	15	LANDSCAPE MAINTENANCE	P.C.Q. PELLETED RODENT BAIT	.75	DIPHACINONE	.000075			
NO	2013	01-APR-13	KERN	15	LANDSCAPE MAINTENANCE	P.C.Q. PELLETED RODENT BAIT	6	DIPHACINONE	.0006			
