ADJUVANT	YEAR	DATE	COUNTY_NAME	COMTRS	SITE_NAME	PRODUCT_NAME	POUNDS_PRODUCT_APPLIED	CHEMICAL_NAME	POUNDS_CHEMICAL_APPLIED	AMOUNT_TREATED	UNIT_TREATED	AERIAL_GROUND_INDICATOR
NO	2015	26-MAY-15	KERN	15M27S24E07	ALMOND	RODENT BAIT DIPHACINONE TREATED GRAIN (0.01%)	108	DIPHACINONE	.0108	18	A	G
NO	2015	01-JAN-15	KERN	15	BUILDINGS AND STRUCTURES (NON-AG OUTDOOR)	P.C.Q. PELLETED RODENT BAIT	900	DIPHACINONE	.09		U	
NO	2015	01-OCT-15	KERN	15	BUILDINGS AND STRUCTURES (NON-AG OUTDOOR)	P.C.Q. PELLETED RODENT BAIT	1200	DIPHACINONE	.12		U	
NO	2015	01-AUG-15	KERN	15	BUILDINGS AND STRUCTURES (NON-AG OUTDOOR)	P.C.Q. PELLETED RODENT BAIT	50	DIPHACINONE	.005		U	
NO	2015	01-JUN-15	KERN	15	BUILDINGS AND STRUCTURES (NON-AG OUTDOOR)	P.C.Q. PELLETED RODENT BAIT	50	DIPHACINONE	.005		U	
NO	2015	01-OCT-15	KERN	15	COMMERCIAL, INSTITUTIONAL OR INDUSTRIAL AREAS	P.C.Q. PELLETED RODENT BAIT	8	DIPHACINONE	.0008	2000	S	
NO	2015	01-DEC-15	KERN	15	LANDSCAPE MAINTENANCE	P.C.Q. PELLETED RODENT BAIT	5.25	DIPHACINONE	.000525			
NO	2015	01-APR-15	KERN	15	LANDSCAPE MAINTENANCE	P.C.Q. PELLETED RODENT BAIT	9.75	DIPHACINONE	.000975			
NO	2015	01-OCT-15	KERN	15	LANDSCAPE MAINTENANCE	P.C.Q. PELLETED RODENT BAIT	.625	DIPHACINONE	.0000625			
NO	2015	01-APR-15	KERN	15	LANDSCAPE MAINTENANCE	P.C.Q. PELLETED RODENT BAIT	16	DIPHACINONE	.0016			
NO	2015	01-APR-15	KERN	15	LANDSCAPE MAINTENANCE	P.C.Q. PELLETED RODENT BAIT	18	DIPHACINONE	.0018			
NO	2015	01-JUN-15	KERN	15	LANDSCAPE MAINTENANCE	P.C.Q. PELLETED RODENT BAIT	20	DIPHACINONE	.002			
NO	2015	01-NOV-15	KERN	15	LANDSCAPE MAINTENANCE	P.C.Q. PELLETED RODENT BAIT	10.5	DIPHACINONE	.00105			
NO	2015	01-JUN-15	KERN	15	LANDSCAPE MAINTENANCE	P.C.Q. PELLETED RODENT BAIT	19.5	DIPHACINONE	.00195			
NO	2015	01-FEB-15	KERN	15	LANDSCAPE MAINTENANCE	P.C.Q. PELLETED RODENT BAIT	50	DIPHACINONE	.005			
NO	2015	01-JAN-15	KERN	15	LANDSCAPE MAINTENANCE	P.C.Q. PELLETED RODENT BAIT	50	DIPHACINONE	.005			
NO	2015	01-MAR-15	KERN	15	LANDSCAPE MAINTENANCE	P.C.Q. PELLETED RODENT BAIT	20	DIPHACINONE	.002			
NO	2015	01-MAY-15	KERN	15	LANDSCAPE MAINTENANCE	P.C.Q. PELLETED RODENT BAIT	11	DIPHACINONE	.0011			
NO	2015	01-NOV-15	KERN	15	LANDSCAPE MAINTENANCE	P.C.Q. PELLETED RODENT BAIT	25	DIPHACINONE	.0025			
NO	2015	01-AUG-15	KERN	15	LANDSCAPE MAINTENANCE	P.C.Q. PELLETED RODENT BAIT	2	DIPHACINONE	.0002			
NO	2015	01-SEP-15	KERN	15	LANDSCAPE MAINTENANCE	P.C.Q. PELLETED RODENT BAIT	20	DIPHACINONE	.002			
NO	2015	01-MAY-15	KERN	15	LANDSCAPE MAINTENANCE	P.C.Q. PELLETED RODENT BAIT	18.75	DIPHACINONE	.001875			
NO	2015	01-JUL-15	KERN	15	LANDSCAPE MAINTENANCE	P.C.Q. PELLETED RODENT BAIT	11	DIPHACINONE	.0011			
NO	2015	01-SEP-15	KERN	15	LANDSCAPE MAINTENANCE	P.C.Q. PELLETED RODENT BAIT	23.75	DIPHACINONE	.002375			
NO	2015	01-MAR-15	KERN	15	LANDSCAPE MAINTENANCE	P.C.Q. PELLETED RODENT BAIT	13.5	DIPHACINONE	.00135			
NO	2015	01-AUG-15	KERN	15	LANDSCAPE MAINTENANCE	P.C.Q. PELLETED RODENT BAIT	2.95	DIPHACINONE	.000295			
NO	2015	01-SEP-15	KERN	15	LANDSCAPE MAINTENANCE	P.C.Q. PELLETED RODENT BAIT	2	DIPHACINONE	.0002			
NO	2015	01-DEC-15	KERN	15	LANDSCAPE MAINTENANCE	P.C.Q. PELLETED RODENT BAIT	1	DIPHACINONE	.0001			
NO	2015	01-OCT-15	KERN	15	LANDSCAPE MAINTENANCE	P.C.Q. PELLETED RODENT BAIT	12.5	DIPHACINONE	.00125			
NO	2015	01-JAN-15	KERN	15	LANDSCAPE MAINTENANCE	P.C.Q. PELLETED RODENT BAIT	11	DIPHACINONE	.0011			
NO	2015	01-AUG-15	KERN	15	LANDSCAPE MAINTENANCE	P.C.Q. PELLETED RODENT BAIT	18	DIPHACINONE	.0018			
NO	2015	01-OCT-15	KERN	15	LANDSCAPE MAINTENANCE	P.C.Q. PELLETED RODENT BAIT	27	DIPHACINONE	.0027			
NO	2015	01-DEC-15	KERN	15	LANDSCAPE MAINTENANCE	P.C.Q. PELLETED RODENT BAIT	66	DIPHACINONE	.0066			
NO	2015	01-OCT-15	KERN	15	LANDSCAPE MAINTENANCE	P.C.Q. PELLETED RODENT BAIT	90	DIPHACINONE	.009			
NO	2015	01-OCT-15	KERN	15	LANDSCAPE MAINTENANCE	P.C.Q. PELLETED RODENT BAIT	2	DIPHACINONE	.0002			
NO	2015	01-AUG-15	KERN	15	LANDSCAPE MAINTENANCE	RODENT BAIT CHLOROPHACINONE TREATED GRAIN  0.01	15	CHLOROPHACINONE	.0015			
NO	2015	01-SEP-15	KERN	15	LANDSCAPE MAINTENANCE	RODENT BAIT CHLOROPHACINONE TREATED GRAIN (0.01%)	10	CHLOROPHACINONE	.001			
NO	2015	01-OCT-15	KERN	15	LANDSCAPE MAINTENANCE	RODENT BAIT CHLOROPHACINONE TREATED GRAIN (0.01%)	5	CHLOROPHACINONE	.0005			
NO	2015	01-MAY-15	KERN	15	LANDSCAPE MAINTENANCE	RODENT BAIT CHLOROPHACINONE TREATED GRAIN (0.01%)	30	CHLOROPHACINONE	.003			
NO	2015	01-NOV-15	KERN	15	LANDSCAPE MAINTENANCE	ZP RODENT OAT BAIT AG	.5	ZINC PHOSPHIDE	.01			
NO	2015	01-DEC-15	KERN	15	LANDSCAPE MAINTENANCE	ZP RODENT OAT BAIT AG	.6283	ZINC PHOSPHIDE	.012566			
NO	2015	14-AUG-15	KERN	15S11N23W02	LEMON	P.C.Q. PELLETED RODENT BAIT	50	DIPHACINONE	.005	120	A	G
NO	2015	14-JUN-15	KERN	15S11N23W02	LEMON	P.C.Q. PELLETED RODENT BAIT	100	DIPHACINONE	.01	120	A	G
NO	2015	16-JAN-15	KERN	15M30S29E02	ORANGE (ALL OR UNSPEC)	P.C.Q. PELLETED RODENT BAIT	100	DIPHACINONE	.01	80	A	G
NO	2015	17-JUL-15	KERN	15M31S30E22	ORANGE (ALL OR UNSPEC)	P.C.Q. PELLETED RODENT BAIT	25	DIPHACINONE	.0025	160	A	G
NO	2015	17-JUL-15	KERN	15M30S30E34	ORANGE (ALL OR UNSPEC)	P.C.Q. PELLETED RODENT BAIT	12.5	DIPHACINONE	.00125	160	A	G
NO	2015	14-AUG-15	KERN	15S12N23W34	ORANGE (ALL OR UNSPEC)	P.C.Q. PELLETED RODENT BAIT	50	DIPHACINONE	.005	115	A	G
NO	2015	22-AUG-15	KERN	15M30S30E34	ORANGE (ALL OR UNSPEC)	P.C.Q. PELLETED RODENT BAIT	13	DIPHACINONE	.0013	160	A	G
NO	2015	17-JUL-15	KERN	15M31S30E03	ORANGE (ALL OR UNSPEC)	P.C.Q. PELLETED RODENT BAIT	12.5	DIPHACINONE	.00125	160	A	G
NO	2015	22-AUG-15	KERN	15M31S30E22	ORANGE (ALL OR UNSPEC)	P.C.Q. PELLETED RODENT BAIT	13	DIPHACINONE	.0013	160	A	G
NO	2015	15-AUG-15	KERN	15S11N22W08	ORANGE (ALL OR UNSPEC)	RODENT BAIT DIPHACINONE TREATED GRAIN (0.005%)	4.74	DIPHACINONE	.000237	18.68	A	G
NO	2015	15-AUG-15	KERN	15S11N22W08	ORANGE (ALL OR UNSPEC)	RODENT BAIT DIPHACINONE TREATED GRAIN (0.005%)	18.91	DIPHACINONE	.0009455	74.46	A	G
NO	2015	19-SEP-15	KERN	15S11N22W08	ORANGE (ALL OR UNSPEC)	RODENT BAIT DIPHACINONE TREATED GRAIN (0.005%)	38.24	DIPHACINONE	.001912	53.34	A	G
NO	2015	29-JUN-15	KERN	15M25S27E03	ORANGE (ALL OR UNSPEC)	RODENT BAIT DIPHACINONE TREATED GRAIN (0.005%)	12.68	DIPHACINONE	.000634	19.22	A	G
NO	2015	21-SEP-15	KERN	15S11N22W08	ORANGE (ALL OR UNSPEC)	RODENT BAIT DIPHACINONE TREATED GRAIN (0.005%)	13.39	DIPHACINONE	.0006695	18.68	A	G
NO	2015	15-AUG-15	KERN	15S11N22W08	ORANGE (ALL OR UNSPEC)	RODENT BAIT DIPHACINONE TREATED GRAIN (0.005%)	13.55	DIPHACINONE	.0006775	53.34	A	G
NO	2015	29-JUN-15	KERN	15M25S27E03	ORANGE (ALL OR UNSPEC)	RODENT BAIT DIPHACINONE TREATED GRAIN (0.005%)	7.23	DIPHACINONE	.0003615	10.96	A	G
NO	2015	22-SEP-15	KERN	15S11N22W08	ORANGE (ALL OR UNSPEC)	RODENT BAIT DIPHACINONE TREATED GRAIN (0.005%)	53.38	DIPHACINONE	.002669	74.46	A	G
NO	2015	15-AUG-15	KERN	15S11N22W09	ORANGE (ALL OR UNSPEC)	RODENT BAIT DIPHACINONE TREATED GRAIN (0.005%)	8.64	DIPHACINONE	.000432	34.01	A	G
NO	2015	30-JUN-15	KERN	15M25S27E03	ORANGE (ALL OR UNSPEC)	RODENT BAIT DIPHACINONE TREATED GRAIN (0.005%)	7.06	DIPHACINONE	.000353	10.71	A	G
