YEAR_MONTH,log1pVFRate,FIRE_Acres_Burned,PRECIP,WIND_EventCount,WIND_AvgMPH,WIND_RunMiles,AQI_PM25,AQI_PM10,EARTHQUAKE_Total,PESTICIDE_Total,RODENTICIDE_Total,Avg_Monthly_DSCI
2008-10-01,1.9679999745271375,163.91,0.18,0.0,3.667741935,87.82580645,70.0,53.0,0,23.0560507,782.3835,515.4225
2008-11-01,1.4834163232940647,17.3,1.49,0.0,3.106666667,74.49,95.5,38.5,0,0.5193228,515.678,501.69
2008-12-01,2.0130551423798337,0.0,1.19,0.0,3.306451613,79.31290323,94.0,18.5,0,0.0,238.7675,501.5299999999999
2009-01-01,2.0307501134630854,1.0,1.25,0.0,2.587096774,62.01935484,102.0,33.0,0,24.6304,395.1969,502.295
2009-02-01,1.9097838753781036,28.0,2.33,0.0,3.928571429,94.09642857,51.5,13.0,0,71.5428855,375.1287,501.995
2009-03-01,1.5906153078201632,15.51,0.32,1.0,4.680645161,112.2741935,42.0,22.0,0,698.5778579,18831.6113,464.592
2009-04-01,1.8935799469105243,38.05,0.5900000000000001,2.0,5.55,133.32,46.5,19.0,0,3647.7464721,1194.1245,469.96
2009-05-01,1.6548568963380632,60.36,0.41,0.0,5.880645161,141.0967742,58.0,26.5,1,7683.718158199999,2680.8234,469.96
2009-06-01,1.8433305576685934,123.7,0.48,0.0,5.753333333,138.1733333,49.0,28.5,0,1114.1638899,2247.2233,471.16
2009-07-01,1.4734258730270098,278.33,0.0,0.0,5.267741935,126.5548387,57.0,26.0,0,609.8351471,1589.6683,471.16
2009-08-01,1.7345568798554711,35.02,0.0,0.0,4.574193548,109.8129032,62.0,50.0,0,659.8180203,923.0622,471.16
2009-09-01,1.4734258730270098,122.48,0.02,0.0,4.29,103.0666667,60.0,49.5,0,247.7781564,872.2103,471.16
2009-10-01,1.6753852681708183,15.22,1.37,2.0,4.235483871,101.5,61.0,29.5,5,44.05958,1069.7233,325.42
2009-11-01,1.22008298387672,5.85,0.2299999999999999,0.0,3.11,74.55666667,82.5,40.0,1,0.3468992,2519.6254,179.17000000000002
2009-12-01,1.4979882131700057,5.01,2.5,1.0,3.716129032,89.17419355,100.0,25.0,0,2.0496469,423.2511,179.0
2010-01-01,1.5129281745693322,1.0,2.02,1.0,3.990322581,95.83548387,73.0,25.0,0,27.3311132,574.8789,145.8
2010-02-01,0.9170186352465647,1.0,2.94,0.0,3.421428571,82.34642857,62.5,28.0,0,911.7834071,691.0605,52.32
2010-03-01,1.0753136270652663,1.1,1.0,0.0,4.435483871,106.5258065,55.0,21.5,0,5475.2385343,909.1734,52.588
2010-04-01,1.1794948378356762,1.6,2.53,0.0,4.91,117.9266667,54.0,26.0,0,2449.1006645,1050.0152,51.685
2010-05-01,1.1459594261869588,63.09,0.17,2.0,5.822580645,139.7032258,51.0,22.0,0,1442.8465448,1472.3576,24.0025
2010-06-01,1.850601225875449,829.64,0.0,1.0,6.503333333,156.14,51.0,27.5,0,918.0396732,4078.2696,0.372
2010-07-01,2.102582150884419,361.92,0.0,0.0,5.016129032,120.3806452,61.0,36.0,0,2465.7414396,1246.0042,0.27
2010-08-01,2.4151031180772105,62.62,0.0,0.0,4.616129032,110.6548387,58.0,42.0,0,853.4287626,1233.1445,0.27
2010-09-01,2.582419639622407,46.11,0.0,0.0,3.893333333,93.31666667,59.0,52.5,0,267.0679635,4719.6465,0.27
2010-10-01,2.697205101675041,17.45,0.65,0.0,3.764516129,90.5516129,64.0,22.0,0,26.6739014,1060.4386,0.0675
2010-11-01,2.376005868837486,4.36,2.01,0.0,3.286666667,78.96666667,82.5,24.5,0,18.4075006,4541.6273,0.0
2010-12-01,2.1782592862009214,0.0,5.74,0.0,3.606451613,86.69354839,80.0,24.0,0,50.881238,670.8567,17.84
2011-01-01,1.9697467670469095,0.0,1.8,0.0,2.903225806,69.55483871,84.0,21.0,1,83.4570538,2219.1505,0.0
2011-02-01,1.8091513769807779,1.11,1.48,0.0,3.814285714,91.525,63.0,26.0,0,737.62676375,539.2913,0.0
2011-03-01,2.0132937098970194,10.65,3.49,0.0,4.9,117.6774194,53.0,11.0,0,10167.2676227,15490.7774,0.0
2011-04-01,1.8600943961169312,26.46,0.23,0.0,5.303333333,127.32,53.0,13.0,1,5855.1130248,1438.0834,0.0
2011-05-01,1.2971876321048166,578.13,0.49,1.0,5.835483871,139.9258065,57.0,16.5,0,2611.6246503,1267.8092,0.0
2011-06-01,1.7554732065894865,458.76,1.93,0.0,5.45,130.55,60.0,24.5,0,4088.3202961,1718.8355,0.0
2011-07-01,1.7915768684571851,285.92,0.0,0.0,5.335483871,128.0,64.0,29.0,0,4498.6517047,1982.3449,0.0
2011-08-01,1.9547992658950284,130.92000000000002,0.0,0.0,4.34516129,104.3225806,62.0,33.0,1,1160.2022035,1445.313,0.0
2011-09-01,2.3275987564802776,402.54,0.02,0.0,3.953333333,94.94,64.5,55.0,0,476.3713806,939.3231,0.0
2011-10-01,2.3379185461196563,57.32,0.97,0.0,3.329032258,79.86451613,76.0,42.0,1,300.147105,925.182,0.0
2011-11-01,2.1584717656110737,19.86,0.8200000000000001,0.0,3.386666667,81.37,76.5,28.0,0,0.3922,1044.8373,0.0
2011-12-01,2.306634080744748,64.05,0.02,1.0,2.835483871,68.10967742,140.0,56.5,0,1.668576,1222.9601,22.32
2012-01-01,2.3318916006142727,32.22,1.47,0.0,3.280645161,78.9483871,120.0,26.0,0,0.18255,968.2125,254.124
2012-02-01,2.1647722409789107,23.31,0.62,1.0,4.079310345,98.20689655,67.0,24.0,0,789.623621,2415.7788,283.17
2012-03-01,1.91852075480096,99.12,2.56,1.0,4.95483871,118.7193548,52.0,18.0,0,6865.4510198,986.5032,520.3425
2012-04-01,1.7125446300283516,14.1,3.13,1.0,5.076666667,121.8333333,51.5,11.0,0,4518.5868613,1955.5363,483.7425
2012-05-01,1.7681505302997218,174.92,0.0,2.0,6.025806452,144.4225806,56.0,28.0,0,3253.3988969,2288.19,321.23
2012-06-01,1.2628985741874594,601.3000000000001,0.0,3.0,6.72,161.1533333,50.5,31.0,0,2050.3993009,2784.4624,321.3
2012-07-01,1.2923427653022361,230.57,0.0,0.0,4.9,117.5870968,57.0,30.0,0,3127.9568066,3195.0801,348.504
2012-08-01,1.50107860153523,250.35,0.06,0.0,4.448387097,106.8806452,57.0,42.0,0,1275.7941205,2119.2597,322.71000000000004
2012-09-01,1.2628985741874594,30.9,0.0,0.0,3.536666667,84.97333333,63.0,55.5,0,358.787508,1906.6754,321.3
2012-10-01,1.1689769707611675,10.1,2.96,0.0,3.641935484,87.47741935,66.0,49.0,1,195.95892,2347.8521,312.264
2012-11-01,1.348751329486963,107.2,0.99,0.0,3.376666667,81.09333333,80.0,30.5,0,239.3290499,747.3922,316.1325
2012-12-01,1.201274293607526,2.0,1.74,0.0,4.319354839,103.8354839,67.0,18.5,0,87.7987221,885.4026,300.4525
2013-01-01,1.2575228647095615,0.35,0.54,0.0,3.183870968,76.41612903,107.0,42.0,0,50.9622012,647.6058,300.54
2013-02-01,1.3964950846663056,3.1,0.5800000000000001,0.0,3.417857143,82.05714286,77.0,31.0,1,77.312719,1982.5191,354.8125
2013-03-01,1.2575228647095615,7.92,0.71,0.0,4.306451613,103.3129032,60.0,25.0,0,7379.2401734,1290.3991,484.4925
2013-04-01,1.606388060147042,244.52,0.12,1.0,5.423333333,130.03,54.0,27.0,0,4643.95017211,2207.3687,506.20200000000006
2013-05-01,1.7252543589349398,84.35,0.07,0.0,6.464516129,155.2387097,56.0,27.0,1,1961.72455721,5590.3325,600.0
2013-06-01,1.3964950846663056,359.26,0.0,0.0,4.59,110.19,55.0,29.0,0,2612.3710655,9080.2495,600.0
2013-07-01,1.3432007173687797,277.23,0.0,0.0,4.767741935,114.4193548,63.0,34.0,0,1895.5946216,3327.3088,600.0
2013-08-01,0.9450480841093668,172.62,0.06,0.0,4.887096774,117.1870968,56.0,35.0,0,1306.505795,3708.523,623.25
2013-09-01,0.9849953997589997,20.5,0.0,0.0,4.916666667,118.05,55.0,48.5,0,303.94498921,2093.1806,631.0
2013-10-01,1.060399564678733,7.7,0.06,0.0,3.390322581,81.18064516,64.0,52.0,0,0.36875,2282.9833,631.0
2013-11-01,1.2869053752436659,7.78,0.37,0.0,2.82,67.50666667,85.0,56.0,0,78.9710466,1426.9652,813.2
2013-12-01,1.163810570304457,5.4,0.23,0.0,2.590322581,62.06774194,131.0,56.0,0,26.514472,1588.9169,995.4
2014-01-01,0.7616843031832086,131.89,0.01,0.0,2.527777778,60.83888889,139.0,66.0,0,2.6121584,1599.4206,1050.775
2014-02-01,0.8090119787020265,2.8,1.23,1.0,5.7,136.72,61.5,23.5,0,2898.2543688,1476.4672,1284.9125
2014-03-01,0.8090119787020265,10.8,0.7000000000000001,0.0,4.390322581,105.383871,52.0,21.0,0,3484.9473589,1495.2576,1497.6
2014-04-01,0.6045666103164046,5.87,0.81,1.0,4.98,119.32,54.0,23.0,0,3755.998145,1635.0342,1497.6
2014-05-01,0.8090119787020265,31.7,0.21,0.0,5.735483871,137.883871,50.0,28.0,0,2304.3593262,2310.0847,1497.6
2014-06-01,0.854200600599416,87.6,0.0,0.0,5.26,126.4,52.5,29.5,0,2182.3026358,6574.0549,1498.125
2014-07-01,1.123677787032405,27.1,0.02,0.0,4.858064516,116.6870968,56.0,35.0,0,1612.43095213,2208.7647,1498.65
