YEAR_MONTH,VFRate,PRECIP,WIND_EventCount,WIND_AvgMPH,WIND_RunMiles,AQI_PM25,AQI_PM10,EARTHQUAKE_Total,YJ_PESTICIDE_Total,log1p_RODENTICIDE_Total,Avg_Monthly_DSCI
2008-10-01,6.47662853602533,0.04,0.0,3.483870968,83.3483871,78.0,76.0,0,-0.12417021851149079,6.537204219801274,596.415
2008-11-01,6.110026920778613,1.46,0.0,2.956666667,70.93,131.5,63.5,0,-0.8090430051744845,5.836454122806336,600.0
2008-12-01,5.499024228700751,1.7,0.0,3.080645161,73.77741935,97.0,44.0,1,-0.758253353658505,6.135747774790394,600.0
2009-01-01,3.7343233707207366,0.88,0.0,2.935483871,70.32903226,142.0,39.0,0,-1.584775454035005,5.554170092271951,599.8199999999999
2009-02-01,3.9752474591543328,1.18,0.0,3.842857143,92.10714286,64.0,19.0,0,-1.597544411814794,4.899703733388974,598.035
2009-03-01,3.132013149636747,0.4,0.0,3.958064516,94.9516129,65.0,30.0,0,0.3811571367988516,7.482954779082487,389.794
2009-04-01,3.7343233707207366,0.63,1.0,4.686666667,112.5833333,59.0,37.0,0,-0.3993265167908438,4.51085950651685,486.995
2009-05-01,4.216171547587929,0.24,0.0,3.874193548,92.90645161,61.0,39.0,2,-0.7385018488635906,7.107638391655096,538.27
2009-06-01,7.9504949183086655,0.2,0.0,3.93,94.16333333,56.0,34.0,0,-0.9339479347419548,5.929589143389895,546.48
2009-07-01,9.155115360476644,0.0,0.0,3.548387097,85.0516129,68.0,40.0,0,-0.9784367387787364,7.048386408721883,546.48
2009-08-01,9.636963537343837,0.0,0.0,3.438709677,82.66774194,68.0,46.0,0,-2.057059498863359,6.584915694052209,546.48
2009-09-01,8.311881050959059,0.16,0.0,3.223333333,77.24,68.0,55.0,0,-1.9843760722407338,4.584967478670572,546.48
2009-10-01,6.986798564574281,0.0,1.0,3.493548387,84.00967742,68.0,52.0,5,-1.7698780295661953,3.713572066704308,549.8
2009-11-01,6.384488343490292,0.32,0.0,2.773333333,66.65,93.5,46.0,1,-2.79405577362051,2.772588722239781,563.4150000000001
2010-01-01,12.001506723814437,1.9,0.0,3.222580645,77.28387097,82.0,25.0,0,0.6186867070757361,6.654635650879467,255.6275
2010-02-01,5.584859564547312,2.5900000000000003,0.0,3.210714286,76.66428571,63.0,20.0,0,-0.5742811938696782,6.30004331726024,57.77
2010-03-01,8.199049147952437,1.11,0.0,3.551612903,85.34193548,56.0,23.0,0,1.33679845414056,6.077792232100159,45.25
2010-04-01,6.535473958512811,1.93,0.0,3.976666667,95.41,57.0,22.5,0,1.545491097094304,7.118974821020669,45.3625
2010-05-01,6.060166761530061,1.34,0.0,4.164516129,100.0806452,53.0,24.0,0,0.24028411702871363,7.0014079950429196,22.7
2010-06-01,7.961395549461061,0.0,0.0,3.996666667,96.04,54.5,33.0,0,0.5971991476924994,8.35572559143081,0.0
2010-07-01,10.33793153437481,0.08,0.0,3.390322581,81.3516129,65.0,36.5,1,0.07086739211866873,7.990272839591455,0.0
2010-08-01,24.715974243102995,0.0,0.0,3.348387097,80.2,60.0,42.0,0,0.06528555177029466,7.76916422236064,0.0
2010-09-01,33.86563778502093,0.0,0.0,2.756666667,66.2,63.5,54.0,0,-0.040521731468702415,6.641762158172742,0.0
2010-10-01,52.640272065839554,0.28,0.0,2.806451613,67.41612903,62.0,33.0,0,0.26573151968181635,7.5576696968707,0.0
2010-11-01,33.98446458426662,1.02,0.0,2.643333333,63.38333333,83.5,35.0,0,-0.36113925191561463,6.590354206124438,0.0
2010-12-01,25.547761837822808,5.65,0.0,2.538709677,60.90322581,77.0,27.0,0,-0.9747616468835757,7.546781011801579,2.355
2011-01-01,25.65819749985582,0.5900000000000001,0.0,2.261290323,54.38387097,91.0,36.5,1,0.22091095592896767,7.2240005368542555,0.0
2011-02-01,12.358306135251658,1.34,0.0,2.925,70.13928571,58.0,32.0,0,-0.6076011230321798,5.942906718446565,0.0
2011-03-01,14.123778440287609,1.97,0.0,3.606666667,86.40666667,56.0,24.0,0,0.792412362657213,6.522672042140673,0.0
2011-04-01,15.889250745323556,0.12,0.0,4.017391304,96.48695652,56.5,24.0,0,1.9789673255080702,6.219298282293994,0.0
2011-05-01,19.655591662733585,0.6000000000000001,0.0,3.964516129,95.30645161,58.0,28.0,0,0.502715442708553,7.716577007232517,0.0
2011-06-01,19.42019535539546,0.04,0.0,3.94,94.44,61.5,34.0,0,0.5433346220864762,7.445343313291508,0.0425
2011-07-01,28.60065134158241,0.32,0.0,3.632258065,87.10645161,59.0,38.0,0,0.5796755568411495,7.710064081832064,0.17
2011-08-01,35.78023871539527,0.0,0.0,3.212903226,77.11612903,62.0,44.0,1,-0.5771726679912652,7.378359103074905,0.068
2011-09-01,39.31118332546717,0.0,0.0,3.153333333,75.57333333,69.5,55.0,0,-2.1461388835270125,7.1365452591710365,0.0
2011-10-01,38.2518999424456,0.91,0.0,2.861290323,68.72258065,75.0,54.0,0,-0.366420409980664,7.929602895232519,0.0
2011-11-01,29.77763287827304,1.04,0.0,3.606666667,86.59,73.5,33.5,0,0.0015289168760455947,7.10283181079342,0.0
2011-12-01,23.30423442647455,0.08,0.0,2.848387097,68.4,147.0,58.5,0,-1.1877632090879124,7.0163289269969,0.6875
2012-01-01,22.89294395083156,0.0,0.0,2.885714286,69.04642857,107.0,57.0,0,-1.233870955522115,6.466069760308143,38.766
2012-02-01,27.68177406299531,0.32,1.0,3.9375,94.7,59.0,27.0,0,-1.1838314690544367,7.781124313502077,142.4
2012-03-01,20.790530730857235,1.53,0.0,4.058064516,97.50967742,55.0,22.0,0,1.4269654490546575,7.403095947277245,316.07
2012-04-01,16.819305759794617,1.62,0.0,4.033333333,96.74666667,62.0,28.0,0,1.7080019701628861,8.936365748380693,336.7875
2012-05-01,13.548885195390108,0.0,0.0,4.358064516,104.4032258,62.0,41.0,0,2.013902962948027,7.656845457285261,238.488
2012-06-01,16.58570429090858,0.0,0.0,4.723333333,113.4,59.5,43.5,0,-0.5727861985675904,8.091536161646674,237.79
2012-07-01,16.468903556465563,0.0,0.0,4.032258065,96.68709677,61.0,32.0,0,-0.5162376205387755,8.020222608425893,233.286
2012-08-01,19.03851971421196,0.0,0.0,3.706451613,88.91612903,64.0,44.0,0,0.13629486495853138,6.283311247943788,283.3275
2012-09-01,17.870512369781782,0.0,0.0,3.396666667,81.66333333,64.0,55.0,0,-0.6597886019147583,8.439998318143505,340.8925
2012-10-01,16.819305759794617,0.0,0.0,3.461290323,83.15483871,67.0,38.5,1,0.5356212686563171,8.852808174986743,345.66
2012-11-01,17.169707963123674,0.24,0.0,3.077777778,73.97037037,80.0,38.0,0,0.09904595631477112,7.595166892579751,390.2775
2012-12-01,11.329671240972765,2.42,0.0,3.093548387,74.17419355,68.0,23.0,0,-0.41851095182493836,7.621597482652292,523.44
2013-01-01,14.330637863625489,1.62,0.0,2.916129032,70.40967742,91.0,54.0,0,0.20267536467967476,6.326941109638791,523.26
2013-02-01,11.903674999624398,0.67,0.0,3.410714286,82.00357143,70.5,44.0,0,-0.29660455824579285,7.4248890643937155,572.6475
2013-03-01,11.672535679243342,0.91,0.0,3.732258065,89.32258065,65.0,36.0,1,0.44065433411020577,7.6413772898078,489.2175
2013-04-01,14.908486164578129,0.16,0.0,4.293333333,103.16,63.5,30.5,0,1.5184290090708006,7.6932239503888065,513.528
2013-05-01,21.149247814866648,0.56,0.0,4.729032258,113.4258065,67.0,34.0,1,0.3859814585725204,8.480592752743418,600.0
2013-06-01,15.833043446102357,0.04,0.0,4.273333333,102.5533333,70.5,43.0,0,-0.14247674206050148,8.180385914675352,600.0
2013-07-01,16.526461407245524,0.0,0.0,3.725806452,89.40645161,65.0,32.5,0,0.09052794641753246,8.10578397203002,600.0
2013-08-01,15.717473785911828,0.0,0.0,3.932258065,94.26451613,77.0,42.5,0,0.14630174508112048,7.161035873091584,887.94
2013-09-01,14.792916504387602,0.16,0.0,3.666666667,87.86333333,66.5,42.0,0,-0.06690607932156639,7.992875119232356,983.92
2013-10-01,18.26000631010345,0.16,0.0,3.274193548,78.66129032,59.0,30.0,0,-0.5236953766831798,6.617260855576102,983.92
2013-11-01,20.57139951391401,0.87,0.0,3.373333333,81.11,79.0,19.0,0,-0.8687384507360562,6.428265841375953,987.36
