YEAR_MONTH,VFRate,FIRE_Acres_Burned,PRECIP,WIND_EventCount,WIND_AvgMPH,WIND_RunMiles,AQI_PM25,AQI_PM10,EARTHQUAKE_Total,PESTICIDE_Total,POUNDS_PRODUCT_APPLIED
2008-10,6.15634928487407,163.91,0.18,0.0,3.667741935,87.82580645,70.0,53.0,0,23.0560507,782.3835
2008-11,3.407979068412431,17.3,1.49,0.0,3.106666667,74.49,95.5,38.5,0,0.5193228,515.678
2008-12,6.486153710849466,0.0,1.19,0.0,3.306451613,79.31290323,94.0,18.5,0,0.0,238.76749999999998
2009-01,6.619799930112276,1.0,1.25,0.0,2.587096774,62.01935484,102.0,33.0,0,24.6304,395.19689999999997
2009-02,5.7516294474746,28.0,2.33,0.0,3.928571429,94.09642857,51.5,13.0,0,71.5428855,375.1287
2009-03,3.90676717186954,15.51,0.32,1.0,4.680645161,112.2741935,42.0,22.0,0,698.5778579,18831.6113
2009-04,5.643108137144891,38.05,0.5900000000000001,2.0,5.55,133.32,46.5,19.0,0,3647.7464721,1194.1245
2009-05,4.2323311028586685,60.36,0.41,0.0,5.880645161,141.0967742,58.0,26.5,1,7683.718158199999,2680.8234
2009-06,5.3175442061557625,123.7,0.48,0.0,5.753333333,138.1733333,49.0,28.5,0,1114.1638899,2247.2233
2009-07,3.364160620220993,278.33,0.0,0.0,5.267741935,126.5548387,57.0,26.0,0,609.8351471,1589.6683
2009-08,4.666416344177506,35.02,0.0,0.0,4.574193548,109.8129032,62.0,50.0,0,659.8180203,923.0622
2009-09,3.364160620220993,122.48,0.02,0.0,4.29,103.0666667,60.0,49.5,0,247.7781564,872.2103
2009-10,4.340852413188378,15.22,1.37,2.0,4.235483871,101.5,61.0,29.5,5,44.05958,1069.7233
2009-11,2.3874688272536075,5.85,0.2299999999999999,0.0,3.11,74.55666667,82.5,40.0,1,0.3468992,2519.6254
2009-12,3.4726819305507024,5.01,2.5,1.0,3.716129032,89.17419355,100.0,25.0,0,2.0496469,423.2511
2010-01,3.540005277826051,1.0,2.02,1.0,3.990322581,95.83548387,73.0,25.0,0,27.3311132,574.8789
2010-02,1.5018204208959005,1.0,2.94,0.0,3.421428571,82.34642857,62.5,28.0,0,911.7834071,691.0605
2010-03,1.9309119697233,1.1,1.0,0.0,4.435483871,106.5258065,55.0,21.5,0,5475.2385343,909.1734
