YEAR_MONTH,VFRate,FIRE_Acres_Burned,PRECIP,WIND_EventCount,WIND_AvgMPH,WIND_RunMiles,AQI_PM25,AQI_PM10,EARTHQUAKE_Total,PESTICIDE_Total,POUNDS_PRODUCT_APPLIED
2008-10,6.47662853602533,0.0,0.04,0.0,3.483870968,83.3483871,78.0,76.0,0,1392.455039,689.3538
2008-11,6.110026920778613,0.0,1.46,0.0,2.956666667,70.93,131.5,63.5,0,682.3236594,341.5625
2008-12,5.499024228700751,0.0,1.7,0.0,3.080645161,73.77741935,97.0,44.0,1,724.6798512,461.0845
2009-01,3.7343233707207366,0.0,0.88,0.0,2.935483871,70.32903226,142.0,39.0,0,215.0082517,257.3125
2009-02,3.9752474591543328,0.0,1.18,0.0,3.842857143,92.10714286,64.0,19.0,0,209.8869787,133.25
2009-03,3.132013149636747,0.0,0.4,0.0,3.958064516,94.9516129,65.0,30.0,0,2126.0603025,1776.4850999999999
2009-04,3.7343233707207366,0.0,0.63,1.0,4.686666667,112.5833333,59.0,37.0,0,1070.0267511,90.0
2009-05,4.216171547587929,0.0,0.24,0.0,3.874193548,92.90645161,61.0,39.0,2,741.5751542,1220.26
2009-06,7.9504949183086655,0.0,0.2,0.0,3.93,94.16333333,56.0,34.0,0,584.7121527,375.0
2009-07,9.155115360476644,0.0,0.0,0.0,3.548387097,85.0516129,68.0,40.0,0,552.1496037,1150.0
2009-08,9.636963537343837,0.0,0.0,0.0,3.438709677,82.66774194,68.0,46.0,0,72.2903994,723.09
2009-09,8.311881050959059,0.0,0.16,0.0,3.223333333,77.24,68.0,55.0,0,88.3997657,97.0
2009-10,6.986798564574281,0.0,0.0,1.0,3.493548387,84.00967742,68.0,52.0,5,147.949801,40.0
2009-11,6.384488343490292,0.0,0.32,0.0,2.773333333,66.65,93.5,46.0,1,0.0,15.0
2010-01,12.001506723814437,0.0,1.9,0.0,3.222580645,77.28387097,82.0,25.0,0,2538.3921852,775.375
2010-02,5.584859564547312,0.0,2.5900000000000003,0.0,3.210714286,76.66428571,63.0,20.0,0,891.4204318999999,543.5955
2010-03,8.199049147952437,0.0,1.11,0.0,3.551612903,85.34193548,56.0,23.0,0,4069.7613523,435.0654
2010-04,6.535473958512811,0.0,1.93,0.0,3.976666667,95.41,57.0,22.5,0,4599.833634600001,1234.1835
2010-05,6.060166761530061,0.0,1.34,0.0,4.164516129,100.0806452,53.0,24.0,0,1902.3541926,1097.1783
2010-06,7.961395549461061,0.0,0.0,0.0,3.996666667,96.04,54.5,33.0,0,2499.2397107,4253.4705
2010-07,10.33793153437481,0.0,0.08,0.0,3.390322581,81.3516129,65.0,36.5,1,1653.2134483,2951.1023
2010-08,24.715974243102995,0.0,0.0,0.0,3.348387097,80.2,60.0,42.0,0,1645.367392,2365.4926
2010-09,33.86563778502093,0.0,0.0,0.0,2.756666667,66.2,63.5,54.0,0,1500.9361426,765.4444
2010-10,52.640272065839554,0.0,0.28,0.0,2.806451613,67.41612903,62.0,33.0,0,1941.6399118,1914.3769
2010-11,33.98446458426662,0.0,1.02,0.0,2.643333333,63.38333333,83.5,35.0,0,1111.6917866,727.0387000000001
2010-12,25.547761837822808,0.0,5.65,0.0,2.538709677,60.90322581,77.0,27.0,0,554.7963091,1893.6341
2011-01,25.65819749985582,0.0,0.5900000000000001,0.0,2.261290323,54.38387097,91.0,36.5,1,1872.775186,1370.9667
2011-02,12.358306135251658,0.0,1.34,0.0,2.925,70.13928571,58.0,32.0,0,859.6468233,380.04089999999997
2011-03,14.123778440287609,0.0,1.97,0.0,3.606666667,86.40666667,56.0,24.0,0,2868.7738463,679.394
2011-04,15.889250745323556,0.0,0.12,0.0,4.017391304,96.48695652,56.5,24.0,0,5830.938692,501.3506
2011-05,19.655591662733585,0.0,0.6000000000000001,0.0,3.964516129,95.30645161,58.0,28.0,0,2331.4816474,2244.2609
