feature,window_size,rmse
FIRE_Acres_Burned,1,8.009699
FIRE_Acres_Burned,2,8.30775
FIRE_Acres_Burned,3,8.148042
FIRE_Acres_Burned,4,8.400081
FIRE_Acres_Burned,5,8.520774
FIRE_Acres_Burned,6,8.804474
FIRE_Acres_Burned,7,8.788201
FIRE_Acres_Burned,8,8.972816
FIRE_Acres_Burned,9,9.132601
FIRE_Acres_Burned,10,9.2256775
FIRE_Acres_Burned,11,9.231762
FIRE_Acres_Burned,12,9.408612
PRECIP,1,8.608366
PRECIP,2,8.976884
PRECIP,3,8.895978
PRECIP,4,8.102879
PRECIP,5,7.5083537
PRECIP,6,7.6373405
PRECIP,7,6.4176846
PRECIP,8,5.9089813
PRECIP,9,6.857228
PRECIP,10,6.6213684
PRECIP,11,6.952642
PRECIP,12,7.0132847
WIND_EventCount,1,8.132731
WIND_EventCount,2,8.369515
WIND_EventCount,3,8.513857
WIND_EventCount,4,8.841676
WIND_EventCount,5,9.060719
WIND_EventCount,6,10.0297365
WIND_EventCount,7,9.908579
WIND_EventCount,8,9.958041
WIND_EventCount,9,10.716439
WIND_EventCount,10,10.162714
WIND_EventCount,11,10.742878
WIND_EventCount,12,13.189504
WIND_AvgMPH,1,8.671026
WIND_AvgMPH,2,8.476018
WIND_AvgMPH,3,10.504168
WIND_AvgMPH,4,13.602001
WIND_AvgMPH,5,13.070999
WIND_AvgMPH,6,13.7441
WIND_AvgMPH,7,13.374271
WIND_AvgMPH,8,12.740305
WIND_AvgMPH,9,11.9361515
WIND_AvgMPH,10,11.031908
WIND_AvgMPH,11,11.489821
WIND_AvgMPH,12,9.942952
WIND_RunMiles,1,8.9272585
WIND_RunMiles,2,8.693245
WIND_RunMiles,3,10.1766615
WIND_RunMiles,4,15.62574
WIND_RunMiles,5,8.319536
WIND_RunMiles,6,12.869248
WIND_RunMiles,7,15.618449
WIND_RunMiles,8,13.265067
WIND_RunMiles,9,17.400997
WIND_RunMiles,10,10.667388
WIND_RunMiles,11,9.216335
WIND_RunMiles,12,9.101663
AQI_PM25,1,8.700327
AQI_PM25,2,9.339594
AQI_PM25,3,9.083531
AQI_PM25,4,14.827267
AQI_PM25,5,16.323956
AQI_PM25,6,13.319838
AQI_PM25,7,36.166073
AQI_PM25,8,12.113801
AQI_PM25,9,16.38634
AQI_PM25,10,20.376902
AQI_PM25,11,15.425542
AQI_PM25,12,14.713761
AQI_PM10,1,7.1514316
AQI_PM10,2,7.2929945
AQI_PM10,3,7.81055
AQI_PM10,4,8.925671
AQI_PM10,5,9.281747
AQI_PM10,6,17.35202
AQI_PM10,7,13.349655
AQI_PM10,8,15.495509
AQI_PM10,9,12.660474
AQI_PM10,10,20.197771
AQI_PM10,11,26.216127
AQI_PM10,12,22.05664
EARTHQUAKE_Total,1,8.3661785
EARTHQUAKE_Total,2,8.616119
EARTHQUAKE_Total,3,9.059673
EARTHQUAKE_Total,4,9.189821
EARTHQUAKE_Total,5,9.560774
EARTHQUAKE_Total,6,10.641942
EARTHQUAKE_Total,7,12.773882
EARTHQUAKE_Total,8,17.109108
EARTHQUAKE_Total,9,11.446035
EARTHQUAKE_Total,10,13.136605
EARTHQUAKE_Total,11,14.740814
EARTHQUAKE_Total,12,10.507363
PESTICIDE_Total,1,8.681724
PESTICIDE_Total,2,10.226569
PESTICIDE_Total,3,11.893577
PESTICIDE_Total,4,14.445644
PESTICIDE_Total,5,15.128341
PESTICIDE_Total,6,13.645354
PESTICIDE_Total,7,24.051588
PESTICIDE_Total,8,20.311468
PESTICIDE_Total,9,27.980228
PESTICIDE_Total,10,30.430336
PESTICIDE_Total,11,20.104822
PESTICIDE_Total,12,20.508957
