feature,window_size,rmse
FIRE_Acres_Burned,1,2.9616501
FIRE_Acres_Burned,2,2.9799972
FIRE_Acres_Burned,3,2.733256
FIRE_Acres_Burned,4,2.3777516
FIRE_Acres_Burned,5,2.5942857
FIRE_Acres_Burned,6,2.4529514
FIRE_Acres_Burned,7,2.115668
FIRE_Acres_Burned,8,2.005015
FIRE_Acres_Burned,9,1.8932697
FIRE_Acres_Burned,10,2.689218
FIRE_Acres_Burned,11,3.3438864
FIRE_Acres_Burned,12,4.0383897
PRECIP,1,3.0933673
PRECIP,2,3.256359
PRECIP,3,3.0751126
PRECIP,4,3.0775037
PRECIP,5,3.2625675
PRECIP,6,3.0511148
PRECIP,7,2.5695255
PRECIP,8,1.724664
PRECIP,9,1.7593234
PRECIP,10,1.0327183
PRECIP,11,0.876816
PRECIP,12,1.0800549
WIND_EventCount,1,3.104166
WIND_EventCount,2,3.1717784
WIND_EventCount,3,3.1732538
WIND_EventCount,4,3.003538
WIND_EventCount,5,2.8683693
WIND_EventCount,6,3.087069
WIND_EventCount,7,3.7541852
WIND_EventCount,8,3.7770169
WIND_EventCount,9,3.6682522
WIND_EventCount,10,3.779399
WIND_EventCount,11,2.5408065
WIND_EventCount,12,2.2758331
WIND_AvgMPH,1,3.0884478
WIND_AvgMPH,2,3.1772385
WIND_AvgMPH,3,2.878113
WIND_AvgMPH,4,2.741339
WIND_AvgMPH,5,2.8098726
WIND_AvgMPH,6,2.8294003
WIND_AvgMPH,7,2.7490346
WIND_AvgMPH,8,2.5492134
WIND_AvgMPH,9,2.953641
WIND_AvgMPH,10,3.3042395
WIND_AvgMPH,11,2.8632915
WIND_AvgMPH,12,2.2751906
WIND_RunMiles,1,3.0581558
WIND_RunMiles,2,3.1270695
WIND_RunMiles,3,2.9963348
WIND_RunMiles,4,2.9525573
WIND_RunMiles,5,2.865334
WIND_RunMiles,6,2.9077497
WIND_RunMiles,7,2.5886643
WIND_RunMiles,8,3.607857
WIND_RunMiles,9,2.7756138
WIND_RunMiles,10,3.2486608
WIND_RunMiles,11,1.9182161
WIND_RunMiles,12,1.8688924
AQI_PM25,1,3.0240865
AQI_PM25,2,3.0965278
AQI_PM25,3,3.0863223
AQI_PM25,4,2.9855804
AQI_PM25,5,3.146782
AQI_PM25,6,2.8431017
AQI_PM25,7,3.1417956
AQI_PM25,8,2.9099526
AQI_PM25,9,2.8219664
AQI_PM25,10,2.7012348
AQI_PM25,11,3.453739
AQI_PM25,12,3.4419882
AQI_PM10,1,3.0568852
AQI_PM10,2,3.1662533
AQI_PM10,3,3.3681533
AQI_PM10,4,3.1959977
AQI_PM10,5,2.6414118
AQI_PM10,6,3.7043767
AQI_PM10,7,3.0624373
AQI_PM10,8,2.799029
AQI_PM10,9,2.8885443
AQI_PM10,10,1.8308437
AQI_PM10,11,1.72237
AQI_PM10,12,1.6609876
EARTHQUAKE_Total,1,3.0797813
EARTHQUAKE_Total,2,3.1433065
EARTHQUAKE_Total,3,3.0979235
EARTHQUAKE_Total,4,2.994175
EARTHQUAKE_Total,5,3.1268494
EARTHQUAKE_Total,6,3.2397904
EARTHQUAKE_Total,7,3.1319969
EARTHQUAKE_Total,8,3.075877
EARTHQUAKE_Total,9,2.9391723
EARTHQUAKE_Total,10,2.8757055
EARTHQUAKE_Total,11,3.1482925
EARTHQUAKE_Total,12,2.3106525
PESTICIDE_Total,1,3.0164773
PESTICIDE_Total,2,3.1311355
PESTICIDE_Total,3,3.1991837
PESTICIDE_Total,4,3.1858795
PESTICIDE_Total,5,3.5902727
PESTICIDE_Total,6,2.413561
PESTICIDE_Total,7,2.9185083
PESTICIDE_Total,8,2.9978824
PESTICIDE_Total,9,5.941845
PESTICIDE_Total,10,4.227094
PESTICIDE_Total,11,1.4604746
PESTICIDE_Total,12,5.126718
POUNDS_PRODUCT_APPLIED,1,3.0497532
POUNDS_PRODUCT_APPLIED,2,3.0098796
POUNDS_PRODUCT_APPLIED,3,2.8978984
POUNDS_PRODUCT_APPLIED,4,3.3799753
POUNDS_PRODUCT_APPLIED,5,4.3096757
POUNDS_PRODUCT_APPLIED,6,4.0044336
POUNDS_PRODUCT_APPLIED,7,4.5900717
POUNDS_PRODUCT_APPLIED,8,2.9005911
POUNDS_PRODUCT_APPLIED,9,2.060868
POUNDS_PRODUCT_APPLIED,10,2.2803087
POUNDS_PRODUCT_APPLIED,11,1.404847
POUNDS_PRODUCT_APPLIED,12,2.6209009
