feature,window_size,rmse
FIRE_Acres_Burned,1,3.014207
FIRE_Acres_Burned,2,2.941953
FIRE_Acres_Burned,3,2.3361864
FIRE_Acres_Burned,4,2.3875747
FIRE_Acres_Burned,5,2.3852754
FIRE_Acres_Burned,6,2.5883942
FIRE_Acres_Burned,7,2.051127
FIRE_Acres_Burned,8,1.8038117
FIRE_Acres_Burned,9,2.0535772
FIRE_Acres_Burned,10,3.1016605
FIRE_Acres_Burned,11,2.8370788
FIRE_Acres_Burned,12,2.2199295
PRECIP,1,3.0460198
PRECIP,2,3.2648857
PRECIP,3,3.0384438
PRECIP,4,3.073125
PRECIP,5,3.2517354
PRECIP,6,3.8270838
PRECIP,7,2.5957375
PRECIP,8,2.2103739
PRECIP,9,1.5926101
PRECIP,10,2.0948637
PRECIP,11,0.9639047
PRECIP,12,1.4236228
WIND_EventCount,1,3.1519082
WIND_EventCount,2,3.1899207
WIND_EventCount,3,3.0580678
WIND_EventCount,4,2.9831045
WIND_EventCount,5,2.856981
WIND_EventCount,6,3.295134
WIND_EventCount,7,4.2374873
WIND_EventCount,8,2.9778388
WIND_EventCount,9,2.9954011
WIND_EventCount,10,3.1034207
WIND_EventCount,11,2.415774
WIND_EventCount,12,2.6777282
WIND_AvgMPH,1,3.0670278
WIND_AvgMPH,2,3.0597684
WIND_AvgMPH,3,2.9739377
WIND_AvgMPH,4,2.701117
WIND_AvgMPH,5,2.6611216
WIND_AvgMPH,6,2.8752797
WIND_AvgMPH,7,2.7485082
WIND_AvgMPH,8,2.1516666
WIND_AvgMPH,9,2.08405
WIND_AvgMPH,10,2.6717298
WIND_AvgMPH,11,3.0009813
WIND_AvgMPH,12,2.6893878
WIND_RunMiles,1,3.191579
WIND_RunMiles,2,3.1500695
WIND_RunMiles,3,2.971314
WIND_RunMiles,4,2.7880056
WIND_RunMiles,5,2.8965
WIND_RunMiles,6,2.6382253
WIND_RunMiles,7,2.6207247
WIND_RunMiles,8,2.9154894
WIND_RunMiles,9,2.2175086
WIND_RunMiles,10,2.5328977
WIND_RunMiles,11,2.0806065
WIND_RunMiles,12,3.1316714
AQI_PM25,1,2.9919934
AQI_PM25,2,2.9641938
AQI_PM25,3,3.0748115
AQI_PM25,4,2.9581583
AQI_PM25,5,3.1342175
AQI_PM25,6,3.165923
AQI_PM25,7,2.7992382
AQI_PM25,8,2.9892821
AQI_PM25,9,2.4784603
AQI_PM25,10,3.145335
AQI_PM25,11,3.122358
AQI_PM25,12,4.1966314
AQI_PM10,1,3.070133
AQI_PM10,2,3.057954
AQI_PM10,3,3.388496
AQI_PM10,4,2.702811
AQI_PM10,5,2.9516137
AQI_PM10,6,2.6576114
AQI_PM10,7,3.2543004
AQI_PM10,8,2.3700986
AQI_PM10,9,2.1883667
AQI_PM10,10,1.5180533
AQI_PM10,11,1.5657556
AQI_PM10,12,1.3968745
EARTHQUAKE_Total,1,3.1280284
EARTHQUAKE_Total,2,3.1768236
EARTHQUAKE_Total,3,3.0275633
EARTHQUAKE_Total,4,3.2555254
EARTHQUAKE_Total,5,3.1238616
EARTHQUAKE_Total,6,3.1959767
EARTHQUAKE_Total,7,3.1715193
EARTHQUAKE_Total,8,3.0126474
EARTHQUAKE_Total,9,2.9777792
EARTHQUAKE_Total,10,2.9260833
EARTHQUAKE_Total,11,2.668033
EARTHQUAKE_Total,12,2.473692
PESTICIDE_Total,1,3.039096
PESTICIDE_Total,2,3.0403936
PESTICIDE_Total,3,3.0335407
PESTICIDE_Total,4,3.3306649
PESTICIDE_Total,5,2.9825475
PESTICIDE_Total,6,3.40498
PESTICIDE_Total,7,4.3231463
PESTICIDE_Total,8,3.028323
PESTICIDE_Total,9,2.9571326
PESTICIDE_Total,10,4.8795404
PESTICIDE_Total,11,3.0552664
PESTICIDE_Total,12,3.3389864
POUNDS_PRODUCT_APPLIED,1,3.0545282
POUNDS_PRODUCT_APPLIED,2,3.1077127
POUNDS_PRODUCT_APPLIED,3,2.998671
POUNDS_PRODUCT_APPLIED,4,3.254127
POUNDS_PRODUCT_APPLIED,5,3.180275
POUNDS_PRODUCT_APPLIED,6,3.4178731
POUNDS_PRODUCT_APPLIED,7,3.4841795
POUNDS_PRODUCT_APPLIED,8,2.9951887
POUNDS_PRODUCT_APPLIED,9,3.054727
POUNDS_PRODUCT_APPLIED,10,2.4109676
POUNDS_PRODUCT_APPLIED,11,2.5236378
POUNDS_PRODUCT_APPLIED,12,2.18787
