feature,window_size,rmse
FIRE_Acres_Burned,1,1.9106457
FIRE_Acres_Burned,2,2.6108692
FIRE_Acres_Burned,3,2.7735255
FIRE_Acres_Burned,4,1.9900558
FIRE_Acres_Burned,5,2.3317294
FIRE_Acres_Burned,6,2.0759885
FIRE_Acres_Burned,7,2.1159897
FIRE_Acres_Burned,8,2.0307379
FIRE_Acres_Burned,9,1.5869356
FIRE_Acres_Burned,10,2.060771
FIRE_Acres_Burned,11,2.4080153
FIRE_Acres_Burned,12,2.124272
PRECIP,1,1.6590009
PRECIP,2,2.1086383
PRECIP,3,2.450048
PRECIP,4,2.0713916
PRECIP,5,2.1790822
PRECIP,6,2.0302892
PRECIP,7,2.241861
PRECIP,8,1.8717004
PRECIP,9,1.7304522
PRECIP,10,1.8044074
PRECIP,11,2.0581062
PRECIP,12,2.2493587
WIND_EventCount,1,2.482701
WIND_EventCount,2,1.6701716
WIND_EventCount,3,2.4525273
WIND_EventCount,4,2.4554887
WIND_EventCount,5,1.941411
WIND_EventCount,6,1.8596684
WIND_EventCount,7,1.7841375
WIND_EventCount,8,1.9477276
WIND_EventCount,9,2.0531769
WIND_EventCount,10,1.4400476
WIND_EventCount,11,2.2558851
WIND_EventCount,12,1.6944919
WIND_AvgMPH,1,1.8357775
WIND_AvgMPH,2,2.0634253
WIND_AvgMPH,3,2.5012374
WIND_AvgMPH,4,2.3277895
WIND_AvgMPH,5,1.9948109
WIND_AvgMPH,6,1.7013764
WIND_AvgMPH,7,1.9915106
WIND_AvgMPH,8,1.5754861
WIND_AvgMPH,9,1.6805574
WIND_AvgMPH,10,2.3523388
WIND_AvgMPH,11,1.8809973
WIND_AvgMPH,12,1.9567232
WIND_RunMiles,1,1.3963747
WIND_RunMiles,2,2.696538
WIND_RunMiles,3,2.4073749
WIND_RunMiles,4,2.0019114
WIND_RunMiles,5,2.0435717
WIND_RunMiles,6,2.1099916
WIND_RunMiles,7,2.1397023
WIND_RunMiles,8,1.7791891
WIND_RunMiles,9,2.1767542
WIND_RunMiles,10,1.7941804
WIND_RunMiles,11,1.9583101
WIND_RunMiles,12,1.7914861
AQI_PM25,1,1.595643
AQI_PM25,2,2.4959228
AQI_PM25,3,2.4826694
AQI_PM25,4,2.2507453
AQI_PM25,5,1.9913348
AQI_PM25,6,2.056566
AQI_PM25,7,1.6277121
AQI_PM25,8,1.7643054
AQI_PM25,9,1.9801855
AQI_PM25,10,1.7931192
AQI_PM25,11,2.1815622
AQI_PM25,12,1.766512
AQI_PM10,1,1.0543859
AQI_PM10,2,2.8067741
AQI_PM10,3,2.5074067
AQI_PM10,4,2.1912422
AQI_PM10,5,2.0838618
AQI_PM10,6,2.2134216
AQI_PM10,7,2.1860573
AQI_PM10,8,2.2324495
AQI_PM10,9,1.8389329
AQI_PM10,10,2.001844
AQI_PM10,11,2.0578835
AQI_PM10,12,2.097904
EARTHQUAKE_Total,1,1.2778519
EARTHQUAKE_Total,2,2.5443382
EARTHQUAKE_Total,3,2.6655583
EARTHQUAKE_Total,4,2.302635
EARTHQUAKE_Total,5,1.924348
EARTHQUAKE_Total,6,2.2567031
EARTHQUAKE_Total,7,2.041068
EARTHQUAKE_Total,8,2.2640426
EARTHQUAKE_Total,9,2.1655188
EARTHQUAKE_Total,10,1.555157
EARTHQUAKE_Total,11,2.1669903
EARTHQUAKE_Total,12,2.2549787
PESTICIDE_Total,1,1.0280379
PESTICIDE_Total,2,2.6769931
PESTICIDE_Total,3,2.4663281
PESTICIDE_Total,4,2.4835405
PESTICIDE_Total,5,2.0697153
PESTICIDE_Total,6,1.8365015
PESTICIDE_Total,7,2.3597653
PESTICIDE_Total,8,1.9049433
PESTICIDE_Total,9,2.1673582
PESTICIDE_Total,10,1.7646092
PESTICIDE_Total,11,1.5477057
PESTICIDE_Total,12,2.1144745
RODENTICIDE_Total,1,1.1362002
RODENTICIDE_Total,2,2.2718046
RODENTICIDE_Total,3,2.5621154
RODENTICIDE_Total,4,2.478653
RODENTICIDE_Total,5,2.2147238
RODENTICIDE_Total,6,2.3405104
RODENTICIDE_Total,7,2.4611332
RODENTICIDE_Total,8,2.1547153
RODENTICIDE_Total,9,2.3004334
RODENTICIDE_Total,10,1.9331619
RODENTICIDE_Total,11,1.8256482
RODENTICIDE_Total,12,1.7943416
Avg_Monthly_DSCI,1,2.6390495
Avg_Monthly_DSCI,2,2.3553803
Avg_Monthly_DSCI,3,2.6158135
Avg_Monthly_DSCI,4,2.041063
Avg_Monthly_DSCI,5,1.6105448
Avg_Monthly_DSCI,6,1.4834907
Avg_Monthly_DSCI,7,1.5910306
Avg_Monthly_DSCI,8,1.7905663
Avg_Monthly_DSCI,9,1.524476
Avg_Monthly_DSCI,10,1.4531959
Avg_Monthly_DSCI,11,1.295287
Avg_Monthly_DSCI,12,1.4756379
