feature,window_size,rmse
log1pFire,1,2.6618404
log1pFire,2,2.7261276
log1pFire,3,2.4902492
log1pFire,4,1.9009284
log1pFire,5,3.1080003
log1pFire,6,2.3497906
log1pFire,7,1.9169503
log1pFire,8,2.5760343
log1pFire,9,1.7769203
log1pFire,10,2.2108912
log1pFire,11,3.9916747
log1pFire,12,3.2941995
PRECIP,1,2.1369014
PRECIP,2,2.6303241
PRECIP,3,2.5283718
PRECIP,4,2.3381064
PRECIP,5,2.712728
PRECIP,6,2.401312
PRECIP,7,1.2653502
PRECIP,8,2.1925373
PRECIP,9,2.1471193
PRECIP,10,1.8979433
PRECIP,11,0.8488684
PRECIP,12,2.1072478
WIND_EventCount,1,2.8708773
WIND_EventCount,2,2.4891114
WIND_EventCount,3,2.6680217
WIND_EventCount,4,2.835559
WIND_EventCount,5,2.170736
WIND_EventCount,6,2.5086014
WIND_EventCount,7,2.0434847
WIND_EventCount,8,2.324581
WIND_EventCount,9,2.5191212
WIND_EventCount,10,2.0434043
WIND_EventCount,11,2.3367133
WIND_EventCount,12,1.9510567
WIND_AvgMPH,1,2.8291497
WIND_AvgMPH,2,2.514932
WIND_AvgMPH,3,2.528805
WIND_AvgMPH,4,2.3926327
WIND_AvgMPH,5,2.340228
WIND_AvgMPH,6,1.9626435
WIND_AvgMPH,7,1.9480234
WIND_AvgMPH,8,1.8730859
WIND_AvgMPH,9,1.7038349
WIND_AvgMPH,10,2.174024
WIND_AvgMPH,11,2.1071973
WIND_AvgMPH,12,2.2404528
WIND_RunMiles,1,2.6031709
WIND_RunMiles,2,2.8347502
WIND_RunMiles,3,2.4274774
WIND_RunMiles,4,1.9216958
WIND_RunMiles,5,2.1141384
WIND_RunMiles,6,1.9871773
WIND_RunMiles,7,1.8425089
WIND_RunMiles,8,1.8846588
WIND_RunMiles,9,2.2192662
WIND_RunMiles,10,2.0713742
WIND_RunMiles,11,2.11531
WIND_RunMiles,12,1.8469392
AQI_PM25,1,2.2453747
AQI_PM25,2,2.5339627
AQI_PM25,3,2.3959086
AQI_PM25,4,2.3497462
AQI_PM25,5,2.5800257
AQI_PM25,6,2.519844
AQI_PM25,7,2.0926988
AQI_PM25,8,2.2306485
AQI_PM25,9,2.3957717
AQI_PM25,10,2.2707171
AQI_PM25,11,2.6037612
AQI_PM25,12,2.2187474
AQI_PM10,1,2.3114007
AQI_PM10,2,2.7970922
AQI_PM10,3,2.2823887
AQI_PM10,4,2.5385046
AQI_PM10,5,2.0959032
AQI_PM10,6,2.3435533
AQI_PM10,7,2.218245
AQI_PM10,8,2.075119
AQI_PM10,9,1.6762502
AQI_PM10,10,1.2986534
AQI_PM10,11,1.2715532
AQI_PM10,12,2.2157998
EARTHQUAKE_Total,1,2.4547665
EARTHQUAKE_Total,2,2.9098654
EARTHQUAKE_Total,3,2.6627529
EARTHQUAKE_Total,4,2.65534
EARTHQUAKE_Total,5,2.2000697
EARTHQUAKE_Total,6,2.6590917
EARTHQUAKE_Total,7,2.1378255
EARTHQUAKE_Total,8,2.2212756
EARTHQUAKE_Total,9,1.9659204
EARTHQUAKE_Total,10,2.0093226
EARTHQUAKE_Total,11,1.9601561
EARTHQUAKE_Total,12,3.2908123
log1pPESTICIDE,1,2.456324
log1pPESTICIDE,2,2.773196
log1pPESTICIDE,3,2.5106747
log1pPESTICIDE,4,3.4694693
log1pPESTICIDE,5,2.5845165
log1pPESTICIDE,6,2.3258436
log1pPESTICIDE,7,2.6848717
log1pPESTICIDE,8,2.0335956
log1pPESTICIDE,9,2.5183306
log1pPESTICIDE,10,2.0983355
log1pPESTICIDE,11,2.03323
log1pPESTICIDE,12,2.6436188
log1pRODENTICIDE,1,2.296821
log1pRODENTICIDE,2,2.4873285
log1pRODENTICIDE,3,2.278993
log1pRODENTICIDE,4,2.763674
log1pRODENTICIDE,5,2.6107283
log1pRODENTICIDE,6,2.4306679
log1pRODENTICIDE,7,1.3345908
log1pRODENTICIDE,8,2.6010132
log1pRODENTICIDE,9,2.5670915
log1pRODENTICIDE,10,2.209995
log1pRODENTICIDE,11,2.093271
log1pRODENTICIDE,12,2.2508032
Avg_Monthly_DSCI,1,0.9930186
Avg_Monthly_DSCI,2,1.43164
Avg_Monthly_DSCI,3,1.7911522
Avg_Monthly_DSCI,4,1.5530958
Avg_Monthly_DSCI,5,1.6974804
Avg_Monthly_DSCI,6,1.5212232
Avg_Monthly_DSCI,7,2.530622
Avg_Monthly_DSCI,8,1.6841276
Avg_Monthly_DSCI,9,2.0885127
Avg_Monthly_DSCI,10,2.0334005
Avg_Monthly_DSCI,11,2.972927
Avg_Monthly_DSCI,12,2.1651185
