feature,window_size,rmse
log1pFire,1,0.5859612
log1pFire,2,0.62037694
log1pFire,3,0.5905251
log1pFire,4,0.49323374
log1pFire,5,0.54898447
log1pFire,6,0.5384524
log1pFire,7,0.47192
log1pFire,8,0.50963753
log1pFire,9,0.43020055
log1pFire,10,0.49603292
log1pFire,11,0.5134069
log1pFire,12,0.5418514
PRECIP,1,0.51347584
PRECIP,2,0.58257335
PRECIP,3,0.5666583
PRECIP,4,0.53028405
PRECIP,5,0.59569365
PRECIP,6,0.53913796
PRECIP,7,0.45892715
PRECIP,8,0.46473414
PRECIP,9,0.46203107
PRECIP,10,0.42861953
PRECIP,11,0.26479688
PRECIP,12,0.4372817
WIND_EventCount,1,0.6309234
WIND_EventCount,2,0.56234574
WIND_EventCount,3,0.58663476
WIND_EventCount,4,0.6024293
WIND_EventCount,5,0.51384604
WIND_EventCount,6,0.5612089
WIND_EventCount,7,0.45617718
WIND_EventCount,8,0.49936444
WIND_EventCount,9,0.5278363
WIND_EventCount,10,0.4677453
WIND_EventCount,11,0.51946414
WIND_EventCount,12,0.43264
WIND_AvgMPH,1,0.61788505
WIND_AvgMPH,2,0.5693268
WIND_AvgMPH,3,0.5623336
WIND_AvgMPH,4,0.54962003
WIND_AvgMPH,5,0.5563525
WIND_AvgMPH,6,0.49026117
WIND_AvgMPH,7,0.46162364
WIND_AvgMPH,8,0.4550279
WIND_AvgMPH,9,0.41130236
WIND_AvgMPH,10,0.48221096
WIND_AvgMPH,11,0.49043503
WIND_AvgMPH,12,0.48008758
WIND_RunMiles,1,0.58208585
WIND_RunMiles,2,0.6246005
WIND_RunMiles,3,0.55421096
WIND_RunMiles,4,0.4794248
WIND_RunMiles,5,0.5091248
WIND_RunMiles,6,0.54305476
WIND_RunMiles,7,0.5013533
WIND_RunMiles,8,0.4476601
WIND_RunMiles,9,0.5209369
WIND_RunMiles,10,0.4606175
WIND_RunMiles,11,0.48101768
WIND_RunMiles,12,0.43311575
AQI_PM25,1,0.5249472
AQI_PM25,2,0.57195807
AQI_PM25,3,0.5446309
AQI_PM25,4,0.5402319
AQI_PM25,5,0.5672388
AQI_PM25,6,0.56654793
AQI_PM25,7,0.46067333
AQI_PM25,8,0.5026093
AQI_PM25,9,0.5162926
AQI_PM25,10,0.49246603
AQI_PM25,11,0.5250902
AQI_PM25,12,0.4796638
AQI_PM10,1,0.54123527
AQI_PM10,2,0.6251381
AQI_PM10,3,0.53570545
AQI_PM10,4,0.56851315
AQI_PM10,5,0.51438934
AQI_PM10,6,0.5443859
AQI_PM10,7,0.4801305
AQI_PM10,8,0.44856042
AQI_PM10,9,0.39591506
AQI_PM10,10,0.4367806
AQI_PM10,11,0.39990023
AQI_PM10,12,0.37826595
EARTHQUAKE_Total,1,0.56051856
EARTHQUAKE_Total,2,0.64218074
EARTHQUAKE_Total,3,0.5932139
EARTHQUAKE_Total,4,0.5937416
EARTHQUAKE_Total,5,0.5274389
EARTHQUAKE_Total,6,0.58985835
EARTHQUAKE_Total,7,0.47182888
EARTHQUAKE_Total,8,0.5369277
EARTHQUAKE_Total,9,0.44965366
EARTHQUAKE_Total,10,0.47082332
EARTHQUAKE_Total,11,0.51078373
EARTHQUAKE_Total,12,0.5319672
log1pPESTICIDE,1,0.5671844
log1pPESTICIDE,2,0.6170904
log1pPESTICIDE,3,0.5650308
log1pPESTICIDE,4,0.63025475
log1pPESTICIDE,5,0.5786571
log1pPESTICIDE,6,0.5449762
log1pPESTICIDE,7,0.5624832
log1pPESTICIDE,8,0.48631024
log1pPESTICIDE,9,0.5363845
log1pPESTICIDE,10,0.48004603
log1pPESTICIDE,11,0.434572
log1pPESTICIDE,12,0.5189087
log1pRODENTICIDE,1,0.53835094
log1pRODENTICIDE,2,0.5645987
log1pRODENTICIDE,3,0.53237987
log1pRODENTICIDE,4,0.62213206
log1pRODENTICIDE,5,0.5863067
log1pRODENTICIDE,6,0.5558738
log1pRODENTICIDE,7,0.47721726
log1pRODENTICIDE,8,0.5502752
log1pRODENTICIDE,9,0.57445025
log1pRODENTICIDE,10,0.5158408
log1pRODENTICIDE,11,0.46701327
log1pRODENTICIDE,12,0.5064228
Avg_Monthly_DSCI,1,0.47059155
Avg_Monthly_DSCI,2,0.3064279
Avg_Monthly_DSCI,3,0.31232303
Avg_Monthly_DSCI,4,0.34408268
Avg_Monthly_DSCI,5,0.37816325
Avg_Monthly_DSCI,6,0.3721536
Avg_Monthly_DSCI,7,0.5756721
Avg_Monthly_DSCI,8,0.41026023
Avg_Monthly_DSCI,9,0.47828242
Avg_Monthly_DSCI,10,0.50348645
Avg_Monthly_DSCI,11,0.6574747
Avg_Monthly_DSCI,12,0.53681076
