feature,window_size,rmse
FIRE_Acres_Burned,1,3.000192
FIRE_Acres_Burned,2,2.6954496
FIRE_Acres_Burned,3,2.6071656
FIRE_Acres_Burned,4,2.4149718
FIRE_Acres_Burned,5,2.587795
FIRE_Acres_Burned,6,2.5061798
FIRE_Acres_Burned,7,2.1419737
FIRE_Acres_Burned,8,2.0344517
FIRE_Acres_Burned,9,1.846672
FIRE_Acres_Burned,10,2.9155684
FIRE_Acres_Burned,11,3.8928642
FIRE_Acres_Burned,12,2.9913578
PRECIP,1,3.1116805
PRECIP,2,3.2042165
PRECIP,3,3.0983872
PRECIP,4,2.9050767
PRECIP,5,2.8730152
PRECIP,6,3.0974338
PRECIP,7,2.8549178
PRECIP,8,1.7543164
PRECIP,9,1.7928786
PRECIP,10,1.2556157
PRECIP,11,1.0206156
PRECIP,12,0.9839436
WIND_EventCount,1,3.1538308
WIND_EventCount,2,3.157287
WIND_EventCount,3,3.0956464
WIND_EventCount,4,3.085148
WIND_EventCount,5,2.7726998
WIND_EventCount,6,3.1155653
WIND_EventCount,7,3.2892737
WIND_EventCount,8,2.900229
WIND_EventCount,9,3.3007557
WIND_EventCount,10,2.6927366
WIND_EventCount,11,3.3211222
WIND_EventCount,12,3.1658146
WIND_AvgMPH,1,3.0585458
WIND_AvgMPH,2,3.0396538
WIND_AvgMPH,3,3.104864
WIND_AvgMPH,4,2.9214158
WIND_AvgMPH,5,2.972547
WIND_AvgMPH,6,2.7649004
WIND_AvgMPH,7,2.710864
WIND_AvgMPH,8,2.0850475
WIND_AvgMPH,9,2.4455938
WIND_AvgMPH,10,1.9949266
WIND_AvgMPH,11,2.8719223
WIND_AvgMPH,12,2.0166526
WIND_RunMiles,1,3.1069388
WIND_RunMiles,2,3.0307503
WIND_RunMiles,3,3.1034472
WIND_RunMiles,4,2.934347
WIND_RunMiles,5,2.7214906
WIND_RunMiles,6,2.6435425
WIND_RunMiles,7,2.3230855
WIND_RunMiles,8,2.835257
WIND_RunMiles,9,2.8958104
WIND_RunMiles,10,2.0621417
WIND_RunMiles,11,2.8802493
WIND_RunMiles,12,2.807812
AQI_PM25,1,3.0595474
AQI_PM25,2,3.0329444
AQI_PM25,3,2.9944057
AQI_PM25,4,3.0316112
AQI_PM25,5,2.9713755
AQI_PM25,6,3.1216874
AQI_PM25,7,3.4115412
AQI_PM25,8,2.119097
AQI_PM25,9,2.8883336
AQI_PM25,10,2.0963392
AQI_PM25,11,2.5491056
AQI_PM25,12,2.400172
AQI_PM10,1,3.099564
AQI_PM10,2,2.972803
AQI_PM10,3,3.2644873
AQI_PM10,4,2.8398876
AQI_PM10,5,3.0778332
AQI_PM10,6,4.658669
AQI_PM10,7,2.6313376
AQI_PM10,8,2.8283591
AQI_PM10,9,2.246252
AQI_PM10,10,1.8863469
AQI_PM10,11,1.5147213
AQI_PM10,12,2.150137
EARTHQUAKE_Total,1,3.1217113
EARTHQUAKE_Total,2,3.1385016
EARTHQUAKE_Total,3,3.0940964
EARTHQUAKE_Total,4,3.3103304
EARTHQUAKE_Total,5,3.166355
EARTHQUAKE_Total,6,3.1304057
EARTHQUAKE_Total,7,3.0424953
EARTHQUAKE_Total,8,3.1587243
EARTHQUAKE_Total,9,2.933981
EARTHQUAKE_Total,10,2.836659
EARTHQUAKE_Total,11,3.011144
EARTHQUAKE_Total,12,2.5205927
PESTICIDE_Total,1,3.0093436
PESTICIDE_Total,2,3.063313
PESTICIDE_Total,3,2.9534104
PESTICIDE_Total,4,3.3992612
PESTICIDE_Total,5,2.8397639
PESTICIDE_Total,6,5.73708
PESTICIDE_Total,7,3.1354887
PESTICIDE_Total,8,4.179024
PESTICIDE_Total,9,5.0840926
PESTICIDE_Total,10,5.415702
PESTICIDE_Total,11,2.2294478
PESTICIDE_Total,12,5.0688095
