feature,window_size,rmse
FIRE_Acres_Burned,1,7.2565985
FIRE_Acres_Burned,2,7.3173327
FIRE_Acres_Burned,3,7.5411386
FIRE_Acres_Burned,4,7.7044296
FIRE_Acres_Burned,5,7.8665357
FIRE_Acres_Burned,6,7.936359
FIRE_Acres_Burned,7,8.108454
FIRE_Acres_Burned,8,8.172546
FIRE_Acres_Burned,9,8.240308
FIRE_Acres_Burned,10,8.5023155
FIRE_Acres_Burned,11,8.385046
FIRE_Acres_Burned,12,8.592904
PRECIP,1,7.4341636
PRECIP,2,7.8378696
PRECIP,3,7.8210797
PRECIP,4,8.15121
PRECIP,5,7.571524
PRECIP,6,7.0981817
PRECIP,7,8.717312
PRECIP,8,5.354691
PRECIP,9,6.2455463
PRECIP,10,7.708649
PRECIP,11,4.0144987
PRECIP,12,6.703535
WIND_EventCount,1,7.597641
WIND_EventCount,2,8.088552
WIND_EventCount,3,9.02496
WIND_EventCount,4,10.321894
WIND_EventCount,5,10.6248255
WIND_EventCount,6,11.362067
WIND_EventCount,7,11.610963
WIND_EventCount,8,11.780734
WIND_EventCount,9,12.1141405
WIND_EventCount,10,11.37512
WIND_EventCount,11,13.422777
WIND_EventCount,12,13.016408
WIND_AvgMPH,1,9.772525
WIND_AvgMPH,2,9.326627
WIND_AvgMPH,3,13.50031
WIND_AvgMPH,4,11.637038
WIND_AvgMPH,5,12.376224
WIND_AvgMPH,6,13.969233
WIND_AvgMPH,7,14.79181
WIND_AvgMPH,8,14.797756
WIND_AvgMPH,9,13.877861
WIND_AvgMPH,10,7.7940016
WIND_AvgMPH,11,10.896965
WIND_AvgMPH,12,10.580075
WIND_RunMiles,1,9.742227
WIND_RunMiles,2,9.094064
WIND_RunMiles,3,14.338734
WIND_RunMiles,4,16.209911
WIND_RunMiles,5,14.604023
WIND_RunMiles,6,13.330332
WIND_RunMiles,7,16.219542
WIND_RunMiles,8,13.649081
WIND_RunMiles,9,15.646557
WIND_RunMiles,10,10.214061
WIND_RunMiles,11,17.517818
WIND_RunMiles,12,12.536535
AQI_PM25,1,7.378165
AQI_PM25,2,7.8695555
AQI_PM25,3,8.673941
AQI_PM25,4,10.394365
AQI_PM25,5,17.349054
AQI_PM25,6,13.674411
AQI_PM25,7,23.975372
AQI_PM25,8,12.013564
AQI_PM25,9,14.164265
AQI_PM25,10,13.635748
AQI_PM25,11,14.986681
AQI_PM25,12,13.915404
AQI_PM10,1,5.3064957
AQI_PM10,2,4.8770475
AQI_PM10,3,5.57217
AQI_PM10,4,7.5298386
AQI_PM10,5,7.408994
AQI_PM10,6,12.347656
AQI_PM10,7,15.469852
AQI_PM10,8,14.154268
AQI_PM10,9,31.082453
AQI_PM10,10,37.001797
AQI_PM10,11,30.052076
AQI_PM10,12,29.336359
EARTHQUAKE_Total,1,7.4123325
EARTHQUAKE_Total,2,7.587846
EARTHQUAKE_Total,3,7.9105277
EARTHQUAKE_Total,4,8.037012
EARTHQUAKE_Total,5,8.486907
EARTHQUAKE_Total,6,9.301564
EARTHQUAKE_Total,7,9.23514
EARTHQUAKE_Total,8,13.325824
EARTHQUAKE_Total,9,10.36433
EARTHQUAKE_Total,10,12.9366865
EARTHQUAKE_Total,11,9.692429
EARTHQUAKE_Total,12,11.345716
PESTICIDE_Total,1,6.9415655
PESTICIDE_Total,2,8.713191
PESTICIDE_Total,3,12.995423
PESTICIDE_Total,4,15.115217
PESTICIDE_Total,5,17.9084
PESTICIDE_Total,6,12.491612
PESTICIDE_Total,7,12.863142
PESTICIDE_Total,8,15.396928
PESTICIDE_Total,9,27.34492
PESTICIDE_Total,10,26.30063
PESTICIDE_Total,11,13.674109
PESTICIDE_Total,12,21.649672
POUNDS_PRODUCT_APPLIED,1,7.3565164
POUNDS_PRODUCT_APPLIED,2,8.234074
POUNDS_PRODUCT_APPLIED,3,10.434204
POUNDS_PRODUCT_APPLIED,4,9.879817
POUNDS_PRODUCT_APPLIED,5,9.18103
POUNDS_PRODUCT_APPLIED,6,9.939962
POUNDS_PRODUCT_APPLIED,7,9.361742
POUNDS_PRODUCT_APPLIED,8,7.7399096
POUNDS_PRODUCT_APPLIED,9,14.996867
POUNDS_PRODUCT_APPLIED,10,12.876781
POUNDS_PRODUCT_APPLIED,11,12.1780815
POUNDS_PRODUCT_APPLIED,12,16.352966
