feature,window_size,rmse
FIRE_Acres_Burned,1,7.206107
FIRE_Acres_Burned,2,7.5080404
FIRE_Acres_Burned,3,7.483269
FIRE_Acres_Burned,4,7.7905793
FIRE_Acres_Burned,5,8.093648
FIRE_Acres_Burned,6,7.992682
FIRE_Acres_Burned,7,8.171609
FIRE_Acres_Burned,8,8.212018
FIRE_Acres_Burned,9,8.358164
FIRE_Acres_Burned,10,8.670322
FIRE_Acres_Burned,11,8.431181
FIRE_Acres_Burned,12,8.542554
PRECIP,1,7.3644753
PRECIP,2,7.332026
PRECIP,3,8.16363
PRECIP,4,7.5936313
PRECIP,5,8.368787
PRECIP,6,7.0542884
PRECIP,7,5.081953
PRECIP,8,6.523585
PRECIP,9,6.3278832
PRECIP,10,5.322638
PRECIP,11,5.2329135
PRECIP,12,4.536301
WIND_EventCount,1,7.576561
WIND_EventCount,2,8.113474
WIND_EventCount,3,8.920757
WIND_EventCount,4,10.281421
WIND_EventCount,5,10.546363
WIND_EventCount,6,10.839367
WIND_EventCount,7,11.509735
WIND_EventCount,8,12.308101
WIND_EventCount,9,11.775063
WIND_EventCount,10,11.031416
WIND_EventCount,11,11.872348
WIND_EventCount,12,12.597004
WIND_AvgMPH,1,9.520978
WIND_AvgMPH,2,9.358364
WIND_AvgMPH,3,11.393121
WIND_AvgMPH,4,14.610287
WIND_AvgMPH,5,9.438014
WIND_AvgMPH,6,12.770535
WIND_AvgMPH,7,15.70769
WIND_AvgMPH,8,14.667307
WIND_AvgMPH,9,14.28416
WIND_AvgMPH,10,12.448318
WIND_AvgMPH,11,7.4503837
WIND_AvgMPH,12,13.003156
WIND_RunMiles,1,9.218865
WIND_RunMiles,2,8.970115
WIND_RunMiles,3,10.741629
WIND_RunMiles,4,14.927416
WIND_RunMiles,5,14.662595
WIND_RunMiles,6,13.686935
WIND_RunMiles,7,14.248211
WIND_RunMiles,8,13.74225
WIND_RunMiles,9,13.808607
WIND_RunMiles,10,8.652017
WIND_RunMiles,11,11.7854395
WIND_RunMiles,12,14.063368
AQI_PM25,1,7.4536405
AQI_PM25,2,7.668105
AQI_PM25,3,8.705658
AQI_PM25,4,11.02589
AQI_PM25,5,13.071746
AQI_PM25,6,12.807446
AQI_PM25,7,32.913837
AQI_PM25,8,12.123015
AQI_PM25,9,13.750104
AQI_PM25,10,18.352465
AQI_PM25,11,13.12941
AQI_PM25,12,12.80045
AQI_PM10,1,5.517603
AQI_PM10,2,5.429478
AQI_PM10,3,5.6131496
AQI_PM10,4,7.4666986
AQI_PM10,5,5.5113935
AQI_PM10,6,15.398351
AQI_PM10,7,10.99295
AQI_PM10,8,12.093445
AQI_PM10,9,26.053919
AQI_PM10,10,30.199764
AQI_PM10,11,33.717484
AQI_PM10,12,23.713362
EARTHQUAKE_Total,1,7.4528522
EARTHQUAKE_Total,2,7.5535994
EARTHQUAKE_Total,3,7.643766
EARTHQUAKE_Total,4,8.465239
EARTHQUAKE_Total,5,8.946967
EARTHQUAKE_Total,6,9.436293
EARTHQUAKE_Total,7,9.7689
EARTHQUAKE_Total,8,11.6760435
EARTHQUAKE_Total,9,9.846332
EARTHQUAKE_Total,10,9.968777
EARTHQUAKE_Total,11,9.341505
EARTHQUAKE_Total,12,13.512213
PESTICIDE_Total,1,7.0543814
PESTICIDE_Total,2,8.166095
PESTICIDE_Total,3,13.566653
PESTICIDE_Total,4,14.650249
PESTICIDE_Total,5,16.119032
PESTICIDE_Total,6,12.458034
PESTICIDE_Total,7,13.343086
PESTICIDE_Total,8,15.09578
PESTICIDE_Total,9,29.229918
PESTICIDE_Total,10,28.47927
PESTICIDE_Total,11,18.187677
PESTICIDE_Total,12,12.189484
POUNDS_PRODUCT_APPLIED,1,6.9391856
POUNDS_PRODUCT_APPLIED,2,8.530419
POUNDS_PRODUCT_APPLIED,3,9.345025
POUNDS_PRODUCT_APPLIED,4,6.8651237
POUNDS_PRODUCT_APPLIED,5,12.080645
POUNDS_PRODUCT_APPLIED,6,7.572448
POUNDS_PRODUCT_APPLIED,7,7.324382
POUNDS_PRODUCT_APPLIED,8,6.090713
POUNDS_PRODUCT_APPLIED,9,11.789088
POUNDS_PRODUCT_APPLIED,10,12.621069
POUNDS_PRODUCT_APPLIED,11,16.106165
POUNDS_PRODUCT_APPLIED,12,13.780662
Avg_Monthly_DSCI,1,4.1096964
Avg_Monthly_DSCI,2,4.1337566
Avg_Monthly_DSCI,3,4.127384
Avg_Monthly_DSCI,4,4.820693
Avg_Monthly_DSCI,5,7.454014
Avg_Monthly_DSCI,6,6.062218
Avg_Monthly_DSCI,7,7.5772343
Avg_Monthly_DSCI,8,4.110547
Avg_Monthly_DSCI,9,5.414481
Avg_Monthly_DSCI,10,5.579671
Avg_Monthly_DSCI,11,5.426459
Avg_Monthly_DSCI,12,5.6010723
