feature,window_size,rmse
FIRE_Acres_Burned,1,8.125753
FIRE_Acres_Burned,2,8.263735
FIRE_Acres_Burned,3,8.298532
FIRE_Acres_Burned,4,9.980131
FIRE_Acres_Burned,5,8.6489725
FIRE_Acres_Burned,6,8.901872
FIRE_Acres_Burned,7,8.693989
FIRE_Acres_Burned,8,9.05147
FIRE_Acres_Burned,9,9.359558
FIRE_Acres_Burned,10,10.11058
FIRE_Acres_Burned,11,9.050948
FIRE_Acres_Burned,12,6.3233733
PRECIP,1,7.8579683
PRECIP,2,8.84539
PRECIP,3,11.037226
PRECIP,4,9.688741
PRECIP,5,8.769432
PRECIP,6,8.308467
PRECIP,7,7.9489436
PRECIP,8,13.345873
PRECIP,9,10.853215
PRECIP,10,11.509352
PRECIP,11,9.214781
PRECIP,12,8.591126
WIND_EventCount,1,8.297185
WIND_EventCount,2,8.207971
WIND_EventCount,3,8.063339
WIND_EventCount,4,9.304545
WIND_EventCount,5,13.334492
WIND_EventCount,6,8.861252
WIND_EventCount,7,14.200777
WIND_EventCount,8,8.678028
WIND_EventCount,9,9.102863
WIND_EventCount,10,9.256198
WIND_EventCount,11,9.530938
WIND_EventCount,12,9.356047
WIND_AvgMPH,1,8.952324
WIND_AvgMPH,2,8.647537
WIND_AvgMPH,3,9.717367
WIND_AvgMPH,4,8.31455
WIND_AvgMPH,5,8.640087
WIND_AvgMPH,6,8.822568
WIND_AvgMPH,7,8.770165
WIND_AvgMPH,8,11.169494
WIND_AvgMPH,9,9.702509
WIND_AvgMPH,10,9.240512
WIND_AvgMPH,11,9.818298
WIND_AvgMPH,12,9.774591
WIND_RunMiles,1,9.0144415
WIND_RunMiles,2,9.412155
WIND_RunMiles,3,8.220895
WIND_RunMiles,4,7.2673936
WIND_RunMiles,5,7.880622
WIND_RunMiles,6,8.595175
WIND_RunMiles,7,10.182724
WIND_RunMiles,8,8.966951
WIND_RunMiles,9,13.065625
WIND_RunMiles,10,8.642857
WIND_RunMiles,11,6.354272
WIND_RunMiles,12,10.23039
AQI_PM25,1,7.8111987
AQI_PM25,2,8.71784
AQI_PM25,3,9.897656
AQI_PM25,4,5.1914315
AQI_PM25,5,14.438288
AQI_PM25,6,10.15366
AQI_PM25,7,9.337467
AQI_PM25,8,8.484737
AQI_PM25,9,9.075194
AQI_PM25,10,9.240742
AQI_PM25,11,9.202945
AQI_PM25,12,11.300801
AQI_PM10,1,7.157789
AQI_PM10,2,7.5121717
AQI_PM10,3,9.172214
AQI_PM10,4,6.2085133
AQI_PM10,5,8.216546
AQI_PM10,6,13.552458
AQI_PM10,7,6.770294
AQI_PM10,8,8.855422
AQI_PM10,9,8.946271
AQI_PM10,10,8.423248
AQI_PM10,11,9.275186
AQI_PM10,12,9.594509
EARTHQUAKE_Total,1,8.31577
EARTHQUAKE_Total,2,8.918213
EARTHQUAKE_Total,3,8.450786
EARTHQUAKE_Total,4,9.655943
EARTHQUAKE_Total,5,8.459959
EARTHQUAKE_Total,6,8.884926
EARTHQUAKE_Total,7,8.802303
EARTHQUAKE_Total,8,8.9936
EARTHQUAKE_Total,9,9.200894
EARTHQUAKE_Total,10,9.016066
EARTHQUAKE_Total,11,9.315802
EARTHQUAKE_Total,12,9.380241
PESTICIDE_Total,1,9.146926
PESTICIDE_Total,2,9.166658
PESTICIDE_Total,3,11.531183
PESTICIDE_Total,4,12.584377
PESTICIDE_Total,5,12.599805
PESTICIDE_Total,6,8.712297
PESTICIDE_Total,7,8.685305
PESTICIDE_Total,8,8.650216
PESTICIDE_Total,9,9.12065
PESTICIDE_Total,10,13.166824
PESTICIDE_Total,11,9.127981
PESTICIDE_Total,12,8.3302355
