feature,window_size,rmse
FIRE_Acres_Burned,1,2.996726
FIRE_Acres_Burned,2,2.9300117
FIRE_Acres_Burned,3,2.1447208
FIRE_Acres_Burned,4,2.1224122
FIRE_Acres_Burned,5,2.7006989
FIRE_Acres_Burned,6,2.262148
FIRE_Acres_Burned,7,2.103601
FIRE_Acres_Burned,8,2.103424
FIRE_Acres_Burned,9,1.9657468
FIRE_Acres_Burned,10,2.8017185
FIRE_Acres_Burned,11,4.1168036
FIRE_Acres_Burned,12,2.0661583
PRECIP,1,3.0862164
PRECIP,2,3.2020888
PRECIP,3,3.1755373
PRECIP,4,3.0374644
PRECIP,5,3.2095504
PRECIP,6,3.327549
PRECIP,7,3.8305187
PRECIP,8,2.2407732
PRECIP,9,1.802779
PRECIP,10,1.3681669
PRECIP,11,1.1299461
PRECIP,12,1.3105766
WIND_EventCount,1,3.1429398
WIND_EventCount,2,3.209359
WIND_EventCount,3,3.1471741
WIND_EventCount,4,3.304327
WIND_EventCount,5,2.785636
WIND_EventCount,6,3.3070607
WIND_EventCount,7,3.6979442
WIND_EventCount,8,2.914182
WIND_EventCount,9,2.9900994
WIND_EventCount,10,2.9655924
WIND_EventCount,11,1.7451226
WIND_EventCount,12,3.3035502
WIND_AvgMPH,1,3.008098
WIND_AvgMPH,2,3.1203423
WIND_AvgMPH,3,3.0454128
WIND_AvgMPH,4,2.9212203
WIND_AvgMPH,5,2.874294
WIND_AvgMPH,6,2.7092533
WIND_AvgMPH,7,2.772556
WIND_AvgMPH,8,2.6051314
WIND_AvgMPH,9,2.7106602
WIND_AvgMPH,10,2.1617365
WIND_AvgMPH,11,2.645615
WIND_AvgMPH,12,2.7143579
WIND_RunMiles,1,3.1219213
WIND_RunMiles,2,3.0678158
WIND_RunMiles,3,2.998384
WIND_RunMiles,4,2.8326764
WIND_RunMiles,5,2.8733704
WIND_RunMiles,6,2.7720094
WIND_RunMiles,7,2.7463374
WIND_RunMiles,8,3.330112
WIND_RunMiles,9,3.0974782
WIND_RunMiles,10,2.5442648
WIND_RunMiles,11,1.9317952
WIND_RunMiles,12,2.829472
AQI_PM25,1,3.0333529
AQI_PM25,2,3.0093586
AQI_PM25,3,2.9795756
AQI_PM25,4,3.1653266
AQI_PM25,5,3.1211064
AQI_PM25,6,3.0370507
AQI_PM25,7,2.7845926
AQI_PM25,8,2.877503
AQI_PM25,9,2.5233252
AQI_PM25,10,3.1611242
AQI_PM25,11,2.8269942
AQI_PM25,12,3.3691797
AQI_PM10,1,3.0430694
AQI_PM10,2,3.0973165
AQI_PM10,3,3.2850633
AQI_PM10,4,2.9199343
AQI_PM10,5,3.6772861
AQI_PM10,6,4.442216
AQI_PM10,7,3.047277
AQI_PM10,8,2.4686224
AQI_PM10,9,2.2973592
AQI_PM10,10,1.8334543
AQI_PM10,11,1.6005696
AQI_PM10,12,1.6454089
EARTHQUAKE_Total,1,3.0946739
EARTHQUAKE_Total,2,3.150961
EARTHQUAKE_Total,3,3.0695257
EARTHQUAKE_Total,4,3.060194
EARTHQUAKE_Total,5,3.067603
EARTHQUAKE_Total,6,3.3615894
EARTHQUAKE_Total,7,3.0496168
EARTHQUAKE_Total,8,3.0340698
EARTHQUAKE_Total,9,3.0923412
EARTHQUAKE_Total,10,3.0138364
EARTHQUAKE_Total,11,2.9242933
EARTHQUAKE_Total,12,2.488807
PESTICIDE_Total,1,2.9982338
PESTICIDE_Total,2,3.0738735
PESTICIDE_Total,3,3.0419025
PESTICIDE_Total,4,3.2852461
PESTICIDE_Total,5,2.519292
PESTICIDE_Total,6,3.992286
PESTICIDE_Total,7,3.9530184
PESTICIDE_Total,8,2.856529
PESTICIDE_Total,9,5.1596613
PESTICIDE_Total,10,5.4826703
PESTICIDE_Total,11,5.0590143
PESTICIDE_Total,12,5.4360957
POUNDS_PRODUCT_APPLIED,1,3.078312
POUNDS_PRODUCT_APPLIED,2,3.044997
POUNDS_PRODUCT_APPLIED,3,2.9847236
POUNDS_PRODUCT_APPLIED,4,3.4428866
POUNDS_PRODUCT_APPLIED,5,3.3786259
POUNDS_PRODUCT_APPLIED,6,2.9656737
POUNDS_PRODUCT_APPLIED,7,6.7227073
POUNDS_PRODUCT_APPLIED,8,3.159929
POUNDS_PRODUCT_APPLIED,9,2.057564
POUNDS_PRODUCT_APPLIED,10,1.2981645
POUNDS_PRODUCT_APPLIED,11,3.1498446
POUNDS_PRODUCT_APPLIED,12,2.8564644
